rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-12.000000000000002,120.0,1,1210,0.9718675,10,,
-11.100000000000012,111.0,2,2240,0.9479200000000001,20,,
-9.656666666666675,96.56666666666666,3,2927,0.9319472500000002,30,,
-11.097500000000021,110.975,5,4479,0.8958632499999998,40,,
-10.466000000000015,104.66,7,5283,0.8771702500000002,50,,
-10.931666666666692,109.31666666666666,9,6619,0.8461082500000001,60,,
-11.228571428571458,112.28571428571429,11,7930,0.8156275000000002,70,,
-11.30500000000003,113.05,13,9124,0.7878670000000001,80,,
-11.627777777777808,116.27777777777777,18,10555,0.75459625,90,272,0.037524383749769186
-11.571000000000032,115.71,26,11671,0.7286492499999998,100,832,0.07577291219604376
-11.135000000000032,111.35,31,12445,0.7106537500000002,110,1216,0.08571373097038304
-11.988000000000033,119.88,44,14328,0.666874,120,2160,0.06830129051559197
-12.73700000000004,127.37,55,15764,0.633487,130,2880,0.07964026997797191
-12.832000000000036,128.32,67,17411,0.59519425,140,3704,0.052698774423333816
-13.927000000000048,139.27,80,19310,0.5510425,150,4648,0.08243461422171094
-13.68100000000004,136.81,88,20400,0.5257000000000002,160,5192,0.03137268156569917
-13.236000000000033,132.36,95,21266,0.5055654999999999,170,5632,0.05218995733230258
-13.980000000000034,139.8,109,23204,0.460507,180,6600,0.06444773334078491
-13.62700000000003,136.27,117,24282,0.4354435,190,7136,0.011380129886674695
-13.577000000000028,135.77,125,25348,0.4106590000000002,200,7672,0.08681821583741112
-14.407000000000028,144.07,137,26952,0.3733660000000001,210,8472,0.07621050962916343
-13.638000000000025,136.38,146,28066,0.34746549999999976,220,9032,0.12101016570522916
-12.935000000000018,129.35,152,28799,0.33042325000000006,230,9392,0.044870989382616244
-11.920000000000014,119.2,157,29431,0.31572924999999985,240,9712,0.046086573755019344
-11.315000000000005,113.15,167,30725,0.28564375,250,10360,0.07903549303591717
-11.206000000000008,112.06,174,31706,0.2628354999999999,260,10848,0.05721702642767923
-11.557000000000007,115.57,184,32923,0.23454025000000034,270,11456,0.11416328957420774
-10.667000000000005,106.67,192,33971,0.21017425000000023,280,11984,0.03574816732725594
-10.369000000000003,103.69,198,34751,0.1920392500000001,290,12368,0.09298161033802899
-10.288000000000004,102.88,205,35736,0.16913800000000034,300,12864,0.059258793473418336
-10.119000000000005,101.19,216,37171,0.1357742500000002,310,13584,0.12781627362710424
-10.434000000000005,104.34,227,38600,0.10254999999999981,320,14296,0.14209463239239994
-10.86600000000001,108.66,237,39765,0.07546374999999994,330,14880,0.03704050493251998
-11.498000000000015,114.98,247,41029,0.07,340,15512,0.048819489471497945
-11.132000000000012,111.32,254,41957,0.07,350,15976,0.08516691738623194
-10.969000000000012,109.69,261,42775,0.07,360,16384,0.0974753468617564
-11.226000000000015,112.26,273,44249,0.07,370,17120,0.096501231790171
-11.459000000000014,114.59,283,45530,0.07,380,17760,0.14681206388922874
