rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss
7.0682361792362585,0.97012375,10,127.5,1285,1,,
9.935025818605896,0.9202757500000002,20,170.45,3429,3,,
8.7916131280777,0.8923292499999999,30,153.36666666666667,4631,5,,
9.220292759102517,0.8470847499999998,40,163.425,6577,7,,
9.780589919149364,0.7991199999999999,50,171.8,8640,10,,
9.326788423179744,0.7728242500000001,60,161.85,9771,12,,
9.216764903872594,0.7340897499999999,70,162.38571428571427,11437,20,712,0.057707474723429186
8.698383762104744,0.7087239999999999,80,155.6,12528,25,1256,0.057322392514834064
8.239470827840252,0.6857064999999999,90,149.2,13518,30,1752,0.038370648599084234
7.665916368907594,0.6730120000000003,100,139.64,14064,33,2024,0.12445474928244948
7.430147891747712,0.6500410000000001,110,136.67,15052,38,2520,0.06792786486767
6.49761250200467,0.6322779999999999,120,122.87,15816,42,2904,0.0963497441916843
6.1404483357471795,0.6157472500000001,130,117.96,16527,46,3256,0.10564729607722256
5.712631094127387,0.58249975,140,112.8,17957,53,3976,0.10611322334443685
4.906075725569184,0.5609237500000002,150,101.45,18885,58,4440,0.04990084079327062
4.733391352763421,0.5326749999999999,160,102.29,20100,64,5048,0.07029510184656829
4.116136784383113,0.5188412500000001,170,91.58,20695,67,5344,0.05113617345341481
4.0770055185281135,0.49268500000000015,180,91.92,21820,73,5904,0.08085230816504918
4.001801804947283,0.47045800000000015,190,91.58,22776,78,6384,0.1393850715830922
3.9957984539348756,0.4551362499999999,200,92.71,23435,81,6712,0.14121289626928046
3.8472606519726242,0.4370012499999999,210,90.63,24215,85,7104,0.0545131549006328
3.7842551328490326,0.42119125,220,89.79,24895,89,7440,0.05492310365661979
3.6482603102580256,0.41189125000000004,230,86.68,25295,91,7640,0.05575881962431595
3.3079871206278506,0.3947792499999999,240,79.74,26031,95,8008,0.07687101798364893
3.290936906577451,0.37166875000000044,250,80.4,27025,100,8512,0.07810252148192376
3.043481734742053,0.3536035000000003,260,76.02,27802,105,8896,0.05797944450750947
3.0799359663680668,0.33597999999999983,270,77.65,28560,109,9272,0.09958266979083419
2.932816532663835,0.3151712499999999,280,75.35,29455,114,9720,0.09086231584660709
2.8306698677592332,0.29696650000000047,290,73.62,30238,118,10112,0.11221480811946094
2.926044060236326,0.27483250000000004,300,76.55,31190,123,10592,0.08189430087804794
2.9514566722467275,0.2531402500000003,310,78.08,32123,128,11056,0.12367897643707693
3.0251998188066067,0.2285417500000002,320,81.86,33181,134,11584,0.09495664830319583
3.1279369933269403,0.21203424999999998,330,84.96,33891,138,11944,0.11687600333243608
3.2148143368269473,0.18673825,340,88.48,34979,144,12488,0.1506763193756342
3.483092030462077,0.14405125000000019,350,96.9,36815,154,13400,0.13149590604007244
3.471042385137706,0.12321925,360,98.09,37711,158,13848,0.08809578465297818
3.8150580137718606,0.07890474999999975,370,109.57,39617,168,14808,0.09038091846741736
4.017986309914395,0.07,380,117.44,41299,177,15648,0.10120792663656175
4.2361642419590355,0.07,390,126.15,42953,185,16472,0.17150747950654477
4.369786033368876,0.07,400,132.78,44568,194,17280,0.10573829675558954
4.410197657480237,0.07,410,136.11,45834,201,17912,0.0821380300913006
4.503094266268332,0.07,420,139.7,47251,208,18624,0.1160900826798752
4.47884686755844,0.07,430,140.24,48015,212,19000,0.1798779359087348
4.695247823045691,0.07,440,148.08,49887,222,19936,0.05952884734142572
4.2889682391148485,0.07,450,137.89,50704,226,20344,0.16634910739958286
4.475682203638147,0.07,460,144.88,52299,234,21144,0.13395202718675137
4.205813467270185,0.07,470,137.43,53460,240,21728,0.06030402076430619
4.048430654372239,0.07,480,132.38,54637,246,22312,0.06066880619619042
3.9228919482680333,0.07,490,127.89,55842,253,22920,0.07174648670479655
3.948746453324968,0.07,500,127.19,57387,261,23688,0.07099651778116822
3.9801671134032954,0.07,510,128.22,58756,268,24376,0.12277333089150488
3.893687995996808,0.07,520,126.69,60020,274,25008,0.07236879668198526
3.9955256824004977,0.07,530,129.68,61083,280,25536,0.12183349335100502
3.6944351571552634,0.07,540,120.68,62055,285,26024,0.07358906837180257
3.6440678729664695,0.07,550,118.4,62644,288,26320,0.10972588649019599
3.4774118491860833,0.07,560,112.46,63645,293,26816,0.18703576643019915
3.538335980559995,0.07,570,115.49,65109,301,27552,0.07271530764410272
3.329136169672747,0.07,580,109.3,65667,305,27832,0.12401296565076336
3.3454173845360047,0.07,590,109.75,66917,312,28456,0.05816004169173539
3.2424030866731095,0.07,600,108.4,68327,320,29160,0.06045319716213271
3.2940440141697365,0.07,610,111.44,70000,330,29992,0.12317205447470769
3.2101910961878626,0.07,620,108.25,70945,335,30472,0.12231336394324899
