rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.937504,10,2688,267.8,15.864997154529316,4,,
0.8824712499999998,20,5055,251.75,15.316173322225122,8,,
0.8380870000000002,30,6964,231.13333333333333,14.11427338895466,11,,
0.80267725,40,8487,211.175,12.97867257624581,14,,
0.7559680000000002,50,10496,208.92,12.665017554299562,19,240,0.018907776482592453
0.7080497500000001,60,12557,208.28333333333333,12.34535599001554,29,1272,0.06612292962108768
0.6776387500000002,70,13865,197.07142857142858,11.260187327063486,36,1928,0.03815308075354551
0.6488785000000001,80,15102,187.775,10.490474359203152,42,2544,0.06647478400009277
0.6120737500000002,90,16685,184.38888888888889,10.064786092455696,50,3336,0.03800602426417754
0.5698517499999998,100,18501,184.01,9.758637005496292,60,4248,0.04756021094726748
0.5323960000000001,110,20112,173.24,8.855561404891953,69,5048,0.010067004259326495
0.4905924999999999,120,21910,167.55,8.075392344782621,79,5952,0.029118705810105894
0.4650639999999999,130,23008,159.44,7.339848626203136,85,6496,0.019982544050435536
0.42932875000000026,140,24545,159.58,6.970988029709638,94,7272,0.02019773775828071
0.3944072500000001,150,26047,154.51,6.378280307414486,102,8016,0.04951224550313782
0.35723050000000023,160,27646,149.89,5.901584314083762,112,8816,0.0489598142739851
0.31954225000000014,170,29267,153.02,6.031281185242795,121,9632,0.031366551091196015
0.2811100000000002,180,30920,157.18,6.122677815328944,131,10456,0.0617323930200655
0.23437750000000024,190,32930,161.45,6.182050075419993,142,11464,0.05144105840008706
0.1882727500000002,200,34913,163.12,6.19720566343614,154,12456,0.0321717370825354
0.14967774999999983,210,36573,163.61,6.0894989716609045,164,13280,0.03176911504124291
0.10048075000000012,220,38689,166.79,6.148707813400318,177,14344,0.023832699633203447
0.07,230,40884,177.76,6.434064894958044,190,15440,0.08275440684519708
0.07,240,43629,189.84,6.694726333543141,207,16808,0.01536169572500512
0.07,250,46534,203.87,7.034820522130942,225,18264,0.024498812010278925
0.07,260,48019,202.73,6.902765461392934,233,19008,0.005330732616130263
0.07,270,49493,201.26,6.767664409284552,241,19744,0.056538871955126524
0.07,280,50907,198.87,6.602938821794391,248,20448,0.025421848171390593
0.07,290,52933,199.03,6.503655429897054,259,21464,0.04866433481220156
0.07,300,55068,200.55,6.447984869345745,270,22528,0.016583618067670614
0.07,310,56585,199.12,6.35606847037572,279,23288,0.016884447366464883
0.07,320,57772,189.83,5.963409302693403,286,23880,0.03886577987577766
0.07,330,59172,181.88,5.6920526416168675,295,24584,0.07226388074923307
0.07,340,61110,173.81,5.451474429200427,305,25552,0.028681910829618573
0.07,350,62983,163.49,5.1187973069025645,316,26488,0.029399599588941783
0.07,360,63987,158.68,4.987128605523533,323,26992,0.06071589462226257
0.07,370,65882,162.89,5.101091253047557,334,27936,0.028172037738841027
0.07,380,66749,157.42,4.962847658699932,340,28368,0.02971348538994789
0.07,390,68561,155.28,4.887503487965882,351,29280,0.06347019004169852
0.07,400,69941,147.73,4.650324015134169,359,29968,0.041792630101554096
0.07,410,71042,143.57,4.47861785887438,366,30520,0.06450841145124286
0.07,420,72388,145.16,4.499195566041696,374,31192,0.05139665730530396
0.07,430,73719,144.47,4.4849462699169536,382,31856,0.03144734789384529
0.07,440,75807,145.97,4.543172953505344,395,32896,0.06549326260574162
0.07,450,77919,148.36,4.6331651733140315,407,33952,0.0312775585334748
0.07,460,79517,154.3,4.791547541178873,417,34752,0.05209749814821407
0.07,470,82257,162.75,5.079188508917153,433,36128,0.03142113727517426
0.07,480,84497,176.48,5.492304556151555,444,37248,0.04368316428735852
0.07,490,87043,183.82,5.711435004875163,457,38520,0.029628245800267905
0.07,500,89573,195.32,6.014625356410598,470,39784,0.04411746846744791
0.07,510,91980,208.38,6.417762869066507,483,40984,0.07666771073127165
0.07,520,94387,218.99,6.700819523491094,495,42192,0.04223198315594345
0.07,530,96493,226.74,6.842881662665581,506,43240,0.042283767368644476
0.07,540,98222,223.15,6.650236604952461,516,44104,0.030240670428611338
0.07,550,99255,212.36,6.284106883295878,522,44624,0.028979999537114054
0.07,560,100228,206.11,6.048167191233924,528,45112,0.018645856413058937
0.07,570,100709,183.52,5.334448596901591,531,45352,0.0789233556133695
0.07,580,101567,169.7,4.86992363838265,535,45776,0.02997994318138808
0.07,590,102569,154.26,4.354052933153486,540,46280,0.06610333162825555
0.07,600,103783,141.1,3.920607818503573,547,46888,0.0784696071059443
0.07,610,104816,127.36,3.4859589155561808,552,47400,0.05346133321290836
0.07,620,105619,111.32,3.0405360969265653,556,47808,0.07955606491304934
0.07,630,106606,100.13,2.724019103892223,561,48296,0.07994585353299044
0.07,640,107587,92.65,2.514517181729444,566,48792,0.028832985437475145
0.07,650,108336,89.81,2.429645167833608,570,49160,0.09098289115354419
0.07,660,109495,91.67,2.476481687886847,576,49744,0.05414208385627717
0.07,670,110115,93.06,2.4884369253794607,579,50056,0.05176474477048032
0.07,680,110711,90.44,2.3863073178448406,582,50352,0.05299747613025829
0.07,690,112190,95.21,2.5172032946480427,590,51088,0.016828734922455624
0.07,700,114046,101.63,2.68666175308617,600,52016,0.07534790795762092
0.07,710,115956,110.4,2.8541326648466105,609,52976,0.06491502426797524
0.07,720,118033,123.14,3.129358045687048,620,54016,0.027047657495131716
0.07,730,119798,130.92,3.316256605542293,629,54896,0.07387314364314079
0.07,740,121245,135.58,3.403111865395676,637,55616,0.06464031105861068
0.07,750,123141,147.05,3.7145850380553145,647,56568,0.09545531641924754
0.07,760,124121,145.26,3.6963172368154797,652,57056,0.03951213977416046
0.07,770,125665,154.5,3.9280132563877697,659,57832,0.04834806188591756
0.07,780,127132,163.21,4.168865750145319,667,58560,0.06462307056062855
0.07,790,128903,166.13,4.237597328153837,676,59448,0.10748035021242686
0.07,800,130567,164.21,4.19988078853077,684,60280,0.04912689630873501
0.07,810,132505,164.49,4.2162934572571205,694,61248,0.003444101181230508
0.07,820,134481,163.48,4.2011501948717305,705,62240,0.05946606450015679
0.07,830,136003,161.05,4.205881272468753,712,63000,0.04851140388927888
0.07,840,137998,166.53,4.397586731937321,723,63992,0.06035988713847473
0.07,850,139044,158.03,4.160644383220047,728,64520,0.09419200324919075
0.07,860,140641,164.2,4.282702174324822,737,65320,0.04957160586491227
0.07,870,142496,167.31,4.335478104413792,746,66240,0.07152857293840498
0.07,880,144838,176.06,4.516856377469729,758,67416,0.12880011164816096
