rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9771219999999998,1,97.4,10,984,-4.828903394068489,,
0.9556157499999999,2,94.45,20,1909,-4.754674640389853,,
0.9409449999999998,3,83.66666666666667,30,2540,-4.222500517510996,,
0.9323425000000002,3,71.75,40,2910,-3.567436589902397,,
0.9061862499999997,5,79.7,50,4035,-4.054621325293828,,
0.8888185000000001,6,78.7,60,4782,-4.024449644882119,,
0.8727294999999999,7,77.2,70,5474,-3.8927447070146246,,
0.8588957500000003,8,74.8625,80,6069,-3.793071601742183,,
0.8327627499999999,10,78.92222222222222,90,7193,-4.062664566601443,,
0.8202775000000002,11,76.3,100,7730,-3.882012322336036,,
0.8093035000000001,12,71.18,110,8202,-3.6302528833236436,,
0.79054075,13,70.0,120,9009,-3.4976807461108463,,
0.7708712500000002,15,72.15,130,9855,-3.6180694517481906,,
0.7496672500000001,21,77.57,140,10767,-3.8795108690629645,376,0.20244423765689135
0.7313927500000003,26,74.18,150,11553,-3.632332710146494,776,0.16625987828228972
0.7057944999999999,34,77.72,160,12654,-3.8233445197311027,1320,0.10193959637763328
0.6773365000000002,43,83.04,170,13878,-4.204633674997416,1936,0.16703128907829523
0.66099175,48,84.12,180,14581,-4.169599209734406,2288,0.1300348760560155
0.6437169999999999,54,80.31,190,15324,-3.880791542638664,2656,0.12046831459156238
0.62751175,59,81.91,200,16021,-3.997343035343696,3008,0.102496742940275
0.5898932499999999,71,93.37,210,17639,-4.55363203717025,3816,0.1486003085738048
0.5719209999999999,77,93.03,220,18412,-4.53574977011699,4200,0.12173323638853617
0.5526234999999999,84,92.87,230,19242,-4.427191052647778,4616,0.11197463258577045
0.5380922500000003,89,90.0,240,19867,-4.273014302307527,4928,0.12236211799609009
0.5206082499999998,95,89.66,250,20619,-4.252443495139309,5304,0.12191594592877664
0.51116875,98,82.71,260,21025,-3.8180483201047313,5512,0.07643561530858278
