rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9852595,634,10,0,62.4,-3.006805319934036,,
0.9645204999999999,1526,20,1,75.3,-3.4427976578228843,,
0.9438512500000003,2415,30,2,79.5,-3.525513576239952,,
0.91915975,3477,40,4,85.925,-3.910477350764135,,
0.8954215,4498,50,5,88.96,-4.438276464620664,,
0.8648244999999999,5814,60,8,95.9,-4.847166408532876,,
0.8378545000000002,6974,70,9,98.62857142857143,-5.16948165908373,,
0.8037235000000001,8442,80,12,104.525,-5.604927935509406,,
0.7698482500000002,9899,90,15,108.9888888888889,-5.992710931765274,,
0.7611760000000002,10272,100,17,101.72,-5.565218086350231,128,0.05584559783892473
0.7330667499999999,11481,110,25,107.47,-5.992425285203325,736,0.018658911852980964
0.68926375,13365,120,39,117.39,-6.768621563400766,1680,0.07431770313633024
0.6663857500000003,14349,130,46,118.34,-6.874017426466055,2168,0.037468031729076756
0.6192347500000002,16377,140,62,128.0,-7.4496782538290525,3184,0.09349680022569373
0.59691475,17337,150,69,127.39,-7.199306951412044,3664,0.05596585915191099
0.5775707500000002,18169,160,75,122.55,-6.851886303944575,4080,0.08467236621072516
0.5466715000000002,19498,170,85,124.24,-6.704612331796638,4744,0.03857573866844177
0.52474675,20441,180,93,118.99,-6.242744334189436,5216,0.04000841235392727
0.4911737500000001,21885,190,104,118.86,-5.952348640797992,5936,0.029711214796407148
0.4689932499999998,22839,200,111,124.67,-6.312325213490852,6416,0.08741366775939241
0.4497190000000001,23668,210,118,120.87,-5.932387027018455,6832,0.11505958175985143
0.43232800000000016,24416,220,124,109.51,-5.098691881550057,7200,0.049991676525678486
0.4180060000000003,25032,230,129,105.83,-4.894479075810191,7512,0.0955807447899133
0.39808074999999987,25889,240,136,94.12,-4.1405641961694775,7944,0.042283882707124576
0.3783415000000001,26738,250,142,93.01,-4.117251812175511,8368,0.03273815073771402
0.3576257500000003,27629,260,149,93.6,-4.289354260059775,8808,0.06112780561670661
0.3448615000000004,28178,270,154,85.8,-3.934584866311249,9088,0.11393648240482435
0.3285865,28878,280,159,83.37,-3.7724849198148553,9432,0.06945094640832394
0.3064525000000001,29830,290,167,78.45,-3.577807131643854,9912,0.06091922183986753
0.2824120000000001,30864,300,175,79.25,-3.501304969865717,10424,0.08843626169255003
0.26764825000000037,31499,310,181,77.31,-3.400063439951426,10744,0.10441104229539633
0.2462117500000004,32421,320,188,79.05,-3.5107643100056087,11208,0.14617514878045768
0.2290300000000003,33160,330,194,80.28,-3.5582700679927872,11576,0.06259068823419511
0.20684950000000002,34114,340,202,81.25,-3.618283845590103,12056,0.09536718856543303
0.18336700000000006,35124,350,210,82.86,-3.70524362816125,12560,0.08617637911811471
0.16520875000000046,35905,360,217,81.76,-3.5427953336475833,12952,0.0890726784709841
0.14972425000000011,36571,370,222,82.93,-3.583461812083698,13280,0.10468518582638353
0.13363524999999998,37263,380,228,82.85,-3.637968639989375,13624,0.059961493010632694
0.11217549999999987,38186,390,236,82.56,-3.583686470754192,14088,0.06088651204481721
0.09234324999999999,39039,400,242,80.75,-3.4889172417250576,14512,0.1049470241414383
0.07,40086,410,251,84.87,-3.7186151987614,15040,0.04305324191227555
0.07,40783,420,257,82.62,-3.5568720610392974,15384,0.07937862735707313
0.07,42085,430,268,88.25,-3.844083508196237,16040,0.13470062013948336
0.07,43154,440,277,89.4,-3.9067135917443583,16576,0.09313183219637722
0.07,44201,450,285,89.77,-3.8825778689592867,17096,0.05168130062520504
0.07,45459,460,295,94.54,-4.092629558072403,17728,0.116071960888803
0.07,46682,470,305,100.11,-4.367938713768553,18336,0.11272746906615794
0.07,47425,480,311,100.62,-4.331756550959654,18712,0.053809701348654926
0.07,49142,490,325,108.56,-4.670334855172386,19568,0.09752027771901339
0.07,50702,500,338,115.63,-4.958052482863609,20344,0.08614596026018262
0.07,52339,510,353,121.53,-5.181566566657877,21168,0.08453588653355837
0.07,54904,520,375,140.21,-5.954306030672707,22448,0.06770110782235861
0.07,56351,530,387,141.66,-5.9693897307605495,23168,0.07985345995984972
0.07,57755,540,399,145.01,-6.090089957826018,23872,0.06868369481526315
0.07,58915,550,409,146.14,-6.12750134796821,24456,0.09636178461369127
0.07,60785,560,425,152.26,-6.374023651350306,25392,0.05915768689010292
0.07,62385,570,438,156.03,-6.514468067119472,26192,0.07406535546761006
0.07,64006,580,453,164.81,-6.9559064455979716,27000,0.06380861555226147
0.07,65280,590,464,160.38,-6.741132577311279,27632,0.09338028187630698
0.07,67024,600,479,162.22,-6.803641299004248,28504,0.050155571720097214
0.07,68655,610,493,162.16,-6.8103067161805,29320,0.10030666855163872
0.07,69962,620,504,149.58,-6.314275655022869,29976,0.09414152323734015
0.07,71929,630,522,154.78,-6.514536574377868,30960,0.05898893583798781
0.07,73249,640,533,153.94,-6.45752317037659,31624,0.08355462178587914
0.07,75211,650,550,161.96,-6.662809704811613,32600,0.0705629059812054
0.07,76573,660,562,156.88,-6.400577333159914,33280,0.052683487767353654
0.07,78366,670,577,158.81,-6.428356428994173,34176,0.06404097197810188
0.07,79887,680,590,157.81,-6.317896821690199,34936,0.06222860992420465
0.07,80585,690,596,152.05,-6.124396677286757,35288,0.043570549867581576
0.07,82028,700,609,149.04,-5.946652759770317,36008,0.0911317587015219
0.07,83167,710,619,144.12,-5.631756776283354,36576,0.061662201944272965
0.07,84340,720,629,142.78,-5.5152234174622325,37168,0.07386780111119151
0.07,85081,730,635,130.52,-4.998155071770562,37536,0.05839652050053701
0.07,86129,740,645,127.8,-4.96353327145381,38064,0.0975948564009741
0.07,87023,750,652,117.12,-4.630685451212411,38504,0.08628431445686147
0.07,88496,760,665,118.23,-4.701587739096705,39240,0.03466841799672693
0.07,89440,770,673,109.74,-4.417005447000694,39712,0.12767648353474215
0.07,90028,780,678,100.41,-4.066804653477428,40008,0.08379422326106578
0.07,91303,790,690,106.18,-4.27358914693043,40648,0.14580471825320274
0.07,93299,800,707,111.71,-4.5188324205511705,41648,0.06937494612066075
0.07,94544,810,718,112.77,-4.609516252382338,42264,0.13726393989054486
0.07,95282,820,724,108.42,-4.4819857154085145,42640,0.049966491060331464
0.07,96886,830,738,117.05,-4.800898229048507,43440,0.07885167805943638
0.07,98044,840,748,118.15,-4.760517965266232,44016,0.07014122337568551
0.07,99367,850,759,122.44,-4.879508050625111,44680,0.03565865760901943
0.07,101243,860,776,126.47,-4.996877546340974,45616,0.08064950461266562
0.07,102017,870,782,124.77,-4.863267414033157,46008,0.07471024943515658
0.07,102778,880,789,126.5,-4.9422063541765775,46384,0.12256945949047804
0.07,103927,890,799,125.24,-4.841961135435583,46960,0.11752254900056869
0.07,105238,900,810,118.39,-4.581773317108821,47616,0.05299253622069955
