rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-5.210369886724356,97.4,1,984,0.9084879999999999,10,,
-4.452163424559833,81.65,2,1653,0.8462710000000001,20,,
-4.690617584542669,85.43333333333334,3,2593,0.7588509999999999,30,,
-4.558710292615705,80.775,4,3271,0.6957969999999999,40,,
-4.545702078325246,79.4,6,4020,0.6261399999999999,50,,
-4.489227682567288,80.61666666666666,7,4897,0.5445789999999999,60,,
-4.653861407718121,81.27142857142857,9,5759,0.46441299999999985,70,,
-4.655123423794828,80.5875,10,6527,0.39298900000000014,80,,
-4.533683121831061,80.76666666666667,12,7359,0.31561300000000014,90,,
-4.53891017735024,80.71,14,8171,0.24009700000000012,100,,
-4.452005932813654,79.21,16,9005,0.16253499999999987,110,,
-4.46021196167063,79.38,17,9691,0.09873700000000007,120,,
-4.2728449966169215,77.58,20,10451,0.07,130,224,0.001455066605558386
-4.0501626114138105,77.09,24,11080,0.07,140,536,0.0015501820198551286
-3.76041581887031,73.5,26,11470,0.07,150,728,0.0010700409256969579
-3.4115636018899163,66.54,27,11651,0.07,160,824,0.0010448075645399513
-2.933552907520922,60.18,28,11877,0.07,170,936,0.0007453314992744708
-2.5406525596960363,54.35,29,12062,0.07,180,1024,0.0009671303778304718
-2.23893308987581,47.47,30,12206,0.07,190,1096,0.0007221988926175982
-1.8531702816196611,41.33,31,12404,0.07,200,1200,0.0007916142167232465
-1.4533679796675218,34.11,32,12516,0.07,210,1256,0.0005189106741454452
-1.112590904489483,28.42,32,12633,0.07,220,1312,0.0012750914902426302
-0.8423258540786148,22.48,33,12799,0.07,230,1392,0.000898846257769037
-0.6983523881476197,17.6,34,12940,0.07,240,1464,0.0006417632903321646
-0.6102978519063404,15.64,35,13134,0.07,250,1560,0.0008621409942861646
-0.5711360225944073,14.92,36,13243,0.07,260,1616,0.0014283330674516037
-0.5345735568874854,14.23,37,13400,0.07,270,1696,0.0011527815368026495
-0.5409348205266116,14.51,38,13613,0.07,280,1800,0.001097116299206391
-0.5731794617471497,15.0,39,13806,0.07,290,1896,0.0011559888516785577
-0.5660414136682572,14.98,40,14002,0.07,300,2000,0.001381056266836822
-0.5901017584142029,15.56,41,14172,0.07,310,2080,0.0011776550600188784
-0.6088762636541449,16.27,42,14360,0.07,320,2176,0.0012733179610222578
-0.6136465706820536,16.6,43,14559,0.07,330,2272,0.0013205095165176317
-0.6176420178913018,17.22,45,14762,0.07,340,2376,0.001014233275782317
-0.6417047538708183,18.18,46,15052,0.07,350,2520,0.0016344644973287359
-0.7006124944846462,19.88,48,15331,0.07,360,2664,0.0015133051492739469
-0.7460537842131483,21.82,50,15682,0.07,370,2840,0.001330207713181153
-0.7437426690658222,22.33,51,15946,0.07,380,2968,0.0012194304435979575
-0.744492036606852,22.99,53,16205,0.07,390,3096,0.0013573875621659681
-0.7819078973699308,25.23,55,16625,0.07,400,3312,0.0010997908902936615
-0.8502720280608517,28.89,58,17161,0.07,410,3576,0.0011607183405430987
-0.9484949223900396,33.4,62,17800,0.07,420,3896,0.0009633458903408609
-1.0815954964646561,38.77,66,18536,0.07,430,4264,0.0010320354704163037
-1.1740454047083042,42.32,70,19094,0.07,440,4544,0.0009804223518585786
-1.333334861735422,47.76,74,19928,0.07,450,4960,0.0007721409929217771
-1.4293474528877415,51.09,78,20540,0.07,460,5264,0.0007183295601862483
-1.4818383164588118,52.57,80,21039,0.07,470,5512,0.0009041634621098638
-1.5532268714768633,55.15,83,21561,0.07,480,5776,0.0007113410028978251
-1.6015334925764022,56.75,86,21980,0.07,490,5984,0.0005700769688701257
-1.5637847368619042,54.75,87,22200,0.07,500,6096,0.000540157787327189
-1.5389227658576177,52.6,89,22521,0.07,510,6256,0.0006217984009708744
-1.4778571310226862,49.08,90,22808,0.07,520,6400,0.0007121881790226325
-1.4074703759569616,45.29,92,23165,0.07,530,6576,0.0004590542521327734
-1.3628323461233272,43.14,94,23508,0.07,540,6752,0.000553620502614649
-1.2197305708851651,38.4,96,23868,0.07,550,6928,0.0004226329292578157
-1.1686890185033982,35.82,98,24222,0.07,560,7104,0.00040111891939886846
-1.0837186900794713,33.17,100,24456,0.07,570,7224,0.0003685895608214196
-0.9876646706703619,30.16,101,24677,0.07,580,7336,0.0003839376695395913
-0.9137469100397431,27.8,102,24860,0.07,590,7424,0.00042239687900291756
-0.9499352699054576,28.44,104,25144,0.07,600,7568,0.00036210197504260577
-0.9130914974210682,27.21,105,25342,0.07,610,7664,0.0003190381594322389
