rollout/exploration_rate,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss
0.9448044999999998,2374,2,10,-14.57110694451186,236.4,,
0.8814947500000001,5097,5,20,-15.65140081958501,253.85,,
0.8287172500000002,7367,8,30,-14.723631492625053,244.56666666666666,,
0.7941444999999998,8854,10,40,-13.155055616689282,220.35,,
0.7438082500000001,11019,17,50,-12.965644821242051,219.38,504,0.027970936260317103
0.6803357499999998,13749,30,60,-13.252873430391672,228.15,1872,0.00010234666751784971
0.6188395000000001,16394,43,70,-13.532187158866877,233.2,3192,0.01850767223004368
0.5570642500000001,19051,56,80,-13.46948171205879,237.1375,4520,0.009392811298312154
0.4902437500000002,21925,71,90,-13.410678038626358,242.61111111111111,5960,0.02748538831656333
0.4204937500000001,24925,87,100,-13.414672795117735,248.25,7456,0.0007763132962281816
0.35074375,27925,103,110,-13.274233562762568,254.51,8960,0.018691808669245802
0.28099375000000004,30925,119,120,-12.88322537068015,257.28,10456,0.001076749620551709
0.21124374999999995,33925,135,130,-12.831757314449176,264.58,11960,0.01810667652171105
0.14393499999999992,36820,150,140,-13.216020722926999,278.66,13408,0.01864516653586179
0.07418499999999983,39820,165,150,-13.270671136524681,287.01,14904,0.010306277588824742
0.07,42820,181,160,-13.023684448004541,289.71,16408,0.0016587936552241445
0.07,45820,196,170,-12.797730641846249,293.26,17904,0.010126515990123153
0.07,48820,211,180,-12.730970911739082,296.69,19408,0.0017965827137231827
0.07,51820,227,190,-12.743943588416625,297.95,20904,0.0019319855782669038
0.07,54820,242,200,-12.702149021899968,297.95,22408,0.002114346018061042
0.07,57820,258,210,-12.653129563043546,297.95,23904,0.01060139961191453
0.07,60820,273,220,-12.619610197656826,297.95,25408,0.018823567632352933
0.07,63820,288,230,-12.597974670749148,297.95,26904,0.010508054023375735
0.07,66820,304,240,-12.532834404053256,299.0,28408,0.0024908435880206525
0.07,69780,319,250,-12.336304764955845,298.6,29888,0.010212022258201614
0.07,72033,330,260,-11.915973447033677,291.13,31016,0.011252439551753923
0.07,74663,344,270,-11.605789864339194,287.43,32328,0.011803929839516059
0.07,77457,358,280,-11.464047596381208,285.37,33728,0.0023872322344686836
0.07,80130,372,290,-11.206320113802642,282.1,35064,0.012073854391928762
0.07,82661,385,300,-10.910393200262268,277.41,36328,0.0026792084972839803
0.07,84995,397,310,-10.585758885246303,270.75,37496,0.002636967590660788
0.07,87234,408,320,-10.248318407256468,263.14,38616,0.0028227690345374867
0.07,89925,422,330,-10.104996432478242,260.05,39960,0.0030319783836603165
0.07,92019,433,340,-9.826981724054185,250.99,41008,0.011326915846439078
0.07,94721,447,350,-9.840918174104647,248.41,42360,0.012364697526209056
0.07,97422,460,360,-10.220916005860712,252.89,43704,0.012105360452551395
0.07,100422,475,370,-10.496162551795921,256.59,45208,0.011196941137313843
0.07,102894,488,380,-10.44612558126173,253.37,46440,0.002542200789321214
0.07,105645,502,390,-10.535132721521085,254.15,47816,0.0029977525118738413
0.07,107760,513,400,-10.367715159742637,249.99,48872,0.0024374041240662336
0.07,110760,528,410,-10.653118947494244,256.65,50376,0.0025022639747476205
0.07,112512,537,420,-10.45522695801961,251.78,51248,0.020192079653497785
0.07,113934,544,430,-9.949445562078417,239.09,51960,0.0021899800922255963
0.07,115820,554,440,-9.847096838210009,237.01,52904,0.0020676677231676877
0.07,117620,563,450,-9.430974617944097,227.99,53808,0.0023758056631777436
0.07,119291,572,460,-8.903221836291422,217.69,54640,0.0025641148822614923
0.07,120860,580,470,-8.250893995907681,203.38,55424,0.0023664265172556043
0.07,122564,589,480,-7.931933391011208,195.7,56280,0.021278454223647714
0.07,125564,604,490,-7.968824953557953,198.19,57776,0.0029959267121739686
0.07,128564,620,500,-8.29119527347264,207.04,59280,0.013345518382266164
0.07,131564,635,510,-8.262748521092458,207.04,60776,0.019520070229191333
0.07,134564,650,520,-8.7435121171535,219.52,62280,0.010586251242784783
0.07,137564,665,530,-9.386271702986537,235.3,63776,0.020039708586409688
0.07,140564,681,540,-9.819093142388924,246.44,65280,0.010955443780403584
0.07,143564,696,550,-10.575959389615193,258.44,66776,0.0046975016593933105
0.07,146564,711,560,-11.125502556419999,271.73,68280,0.02216062427032739
0.07,149564,727,570,-11.626700252514546,286.04,69776,0.0045494193327613175
0.07,152564,742,580,-12.01980334917911,299.0,71280,0.005307936109602451
0.07,155564,757,590,-12.063821155576557,299.0,72776,0.01149028044892475
0.07,158138,770,600,-11.880308206001434,294.74,74064,0.005438594467705116
0.07,161100,785,610,-11.770416283504465,294.36,75544,0.02077050306252204
0.07,163637,798,620,-11.565003961012017,289.73,76816,0.004543769493466243
0.07,166390,813,630,-11.438952089964832,287.26,78192,0.005426138057373464
0.07,169390,828,640,-11.525753217733579,287.26,79688,0.013608734385343269
0.07,172390,843,650,-11.328551563572995,287.26,81192,0.01899639016482979
0.07,175171,857,660,-11.255879049186696,285.07,82584,0.0069041813258081675
0.07,177931,871,670,-11.2407159016014,282.67,83960,0.011339334974763915
0.07,180633,885,680,-11.201584146065295,279.69,85312,0.015272518387064338
0.07,183633,900,690,-11.236576079712911,279.69,86816,0.008135974290780723
0.07,186633,916,700,-11.441606006425708,283.95,88312,0.01397688701399602
0.07,189633,931,710,-11.625654142168287,284.33,89816,0.019301222695503384
0.07,192633,946,720,-11.835379141699473,288.96,91312,0.011899565055500716
0.07,195633,962,730,-11.99649660242028,291.43,92816,0.012343358830548823
0.07,198633,977,740,-11.923779426028819,291.43,94312,0.01518420607317239
