rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-4.499999999999995,45.0,0,460,0.9893050000000001,10,,
-5.704999999999994,57.05,1,1161,0.9730067500000003,20,,
-6.633333333333329,66.33333333333333,2,2020,0.9530350000000001,30,,
-7.707500000000005,77.075,3,3123,0.9273902499999997,40,,
-8.180000000000007,81.8,5,4140,0.9037449999999998,50,,
-10.006666666666687,100.06666666666666,8,6064,0.859012,60,,
-10.168571428571449,101.68571428571428,10,7188,0.8328790000000001,70,,
-9.793750000000017,97.9375,11,7915,0.8159762499999998,80,,
-10.356666666666689,103.56666666666666,14,9411,0.7811942500000002,90,,
-10.376000000000023,103.76,18,10476,0.7564330000000001,100,232,0.03744552749049035
-10.409000000000022,104.09,21,10969,0.7449707499999999,110,480,0.03761784191192419
-10.511000000000024,105.11,26,11772,0.7263009999999999,120,880,0.08514061808091355
-10.871000000000027,108.71,35,12991,0.6979592500000001,130,1488,0.10557553917169571
-11.61000000000003,116.1,49,14833,0.6551327499999999,140,2416,0.019694839529620367
-11.777000000000026,117.77,57,16017,0.6276047500000002,150,3008,0.04960266430680349
-10.834000000000021,108.34,64,16998,0.6047965,160,3496,0.07049365356579074
-11.00500000000002,110.05,73,18293,0.5746877499999999,170,4144,0.09128507431887556
-12.411000000000024,124.11,89,20426,0.5250954999999997,180,5208,0.042011853533040266
-12.631000000000022,126.31,102,22142,0.4851985000000002,190,6064,0.05295454993029125
-13.571000000000026,135.71,117,24147,0.43858224999999995,200,7072,0.08618913545797113
-14.508000000000028,145.08,127,25577,0.40533474999999997,210,7784,0.09784640293219127
-15.110000000000028,151.1,138,26982,0.3726685000000002,220,8488,0.07684027654613601
-14.71200000000003,147.12,144,27803,0.35358025000000015,230,8896,0.0447002574801445
-14.387000000000024,143.87,155,29320,0.31830999999999987,240,9656,0.08913223900890443
-14.48500000000003,144.85,165,30602,0.28850350000000025,250,10296,0.133904498659831
-14.813000000000029,148.13,176,31911,0.25806925000000003,260,10952,0.10275885651935823
-15.026000000000026,150.26,187,33419,0.22300825000000013,270,11704,0.058479343104409054
-14.416000000000022,144.16,199,34942,0.1875984999999999,280,12464,0.07030842117092106
-13.892000000000019,138.92,208,36134,0.1598845000000001,290,13064,0.1410680009284988
-12.793000000000017,127.93,215,37040,0.13881999999999994,300,13512,0.036347016095533036
-12.804000000000016,128.04,227,38481,0.1053167500000004,310,14240,0.15452722924237605
-12.29100000000002,122.91,233,39373,0.0845777499999999,320,14680,0.15516611280327197
-12.454000000000017,124.54,241,40357,0.07,330,15176,0.07332982415391598
-11.657000000000018,116.57,247,41077,0.07,340,15536,0.10912944831943605
-11.366000000000016,113.66,255,42068,0.07,350,16032,0.08591057277226355
-11.226000000000015,112.26,264,43237,0.07,360,16616,0.07493506727041677
-10.692000000000013,106.92,271,44211,0.07,370,17104,0.1606253052887041
-10.577000000000012,105.77,282,45619,0.07,380,17808,0.12424318755802233
-10.282000000000007,102.82,289,46516,0.07,390,18256,0.07552574563305825
-10.42300000000001,104.23,297,47563,0.07,400,18776,0.11326162205659784
-9.994000000000003,99.94,305,48575,0.07,410,19280,0.1130909255152801
-9.731000000000003,97.31,310,49204,0.07,420,19600,0.11356570274801925
-9.462,94.62,315,49919,0.07,430,19952,0.0757987201504875
-9.925,99.25,324,51102,0.07,440,20544,0.13987175159854814
-9.449000000000002,94.49,328,51617,0.07,450,20808,0.06486110101104714
-9.381999999999998,93.82,337,52719,0.07,460,21352,0.11437131692946423
-9.357999999999997,93.58,345,53669,0.07,470,21832,0.09076756724971347
-9.398999999999997,93.99,356,55118,0.07,480,22552,0.13039907204802148
-9.317999999999998,93.18,363,55934,0.07,490,22960,0.0405227750306949
-9.234999999999998,92.35,371,56898,0.07,500,23448,0.07928338172496296
-9.133999999999999,91.34,378,57809,0.07,510,23904,0.09300376633473206
-9.251,92.51,384,58555,0.07,520,24272,0.09200464011519216
-9.497000000000003,94.97,392,59516,0.07,530,24752,0.10523460857803002
-9.200000000000001,92.0,399,60402,0.07,540,25200,0.15759292454458773
-9.805000000000005,98.05,408,61522,0.07,550,25760,0.0934690399444662
-9.465000000000002,94.65,415,62284,0.07,560,26136,0.13251062139170244
-10.40000000000001,104.0,430,64169,0.07,570,27080,0.09354854664707091
-9.564000000000009,95.64,435,64782,0.07,580,27384,0.14791669452097267
-9.681000000000006,96.81,443,65715,0.07,590,27856,0.09539527478045784
-9.96600000000001,99.66,453,66964,0.07,600,28480,0.09540695027681068
-10.547000000000011,105.47,465,68456,0.07,610,29224,0.07017579868261237
-10.506000000000013,105.06,471,69161,0.07,620,29576,0.06984899567032699
-10.82400000000002,108.24,481,70440,0.07,630,30216,0.10959629571880214
-10.764000000000017,107.64,488,71266,0.07,640,30632,0.09737921704072505
-10.052000000000017,100.52,491,71674,0.07,650,30832,0.11037734244018793
-10.263000000000018,102.63,499,72647,0.07,660,31320,0.16426369827240705
