time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/n_updates
845,10,0.9803537499999998,5.272576558218054,83.5,0,,
1500,20,0.9651250000000002,4.402313601092232,74.0,1,,
2435,30,0.9433862499999998,4.467696668756367,80.16666666666667,2,,
3395,40,0.9210662500000002,4.640429681621791,83.875,3,,
4295,50,0.9001412499999999,4.702472360172001,84.9,4,,
5119,60,0.8809832499999999,4.706782789897995,84.31666666666666,5,,
5979,70,0.86098825,4.842092773678293,84.41428571428571,6,,
6721,80,0.84373675,4.721306585275048,83.0125,7,,
7503,90,0.8255552500000002,4.684453235566573,82.36666666666666,9,,
8207,100,0.8091872499999998,4.635862615133961,81.07,10,,
8948,110,0.7919590000000001,4.488504327432082,80.03,11,,
9864,120,0.770662,4.720803460318409,82.64,12,,
10671,130,0.7518992499999998,4.6985693252431,81.36,16,0.0001845140850491589,328
11415,140,0.7346012500000001,4.565510426954866,79.2,20,0.011270770119153894,704
12064,150,0.7195119999999999,4.3624692457985965,76.69,23,0.038602585927947075,1024
12795,160,0.70251625,4.197573007533746,75.76,27,0.028997010109378607,1392
13544,170,0.6851020000000001,3.9573240708956705,74.65,31,0.028961440350030898,1768
14094,180,0.6723144999999999,3.7933337255565376,72.73,33,0.08637473962880904,2040
14548,190,0.661759,3.510056251188609,69.45,36,0.04813127931993222,2272
15007,200,0.6510872500000002,3.251490249291743,67.0,38,0.01955259389433195,2496
15541,210,0.6386717499999999,3.0532927068638958,64.93,41,0.057822911148832645,2768
16078,220,0.6261865000000002,2.723953211287995,61.14,44,0.09602129865379538,3032
16534,230,0.6155845,2.4744317952063652,57.63,46,0.07733166662364965,3264
17043,240,0.6037502499999998,2.30682454443349,55.28,49,0.07716644008178264,3520
17239,250,0.5991932499999999,2.0603882231695825,50.75,50,0.02950431901990669,3616
17529,260,0.5924507500000002,1.849633371027682,46.34,51,0.10571893933229148,3760
17971,270,0.58217425,1.7049361530554739,43.27,54,0.07718884659698233,3984
18539,280,0.5689682500000002,1.6869740278115293,43.45,57,0.10591609278344549,4264
18827,290,0.5622722500000003,1.634855827282106,41.79,58,0.07768272527027875,4408
19175,300,0.5541812499999998,1.6197511659213666,40.68,60,0.049563413616851903,4584
19659,310,0.5429282499999999,1.6061645890565073,40.18,63,0.10617062363598961,4824
20040,320,0.5340700000000003,1.5007028095569808,38.62,65,0.06871250050608069,5016
20377,330,0.5262347500000001,1.433245412279025,37.43,67,0.10595194893539883,5184
20755,340,0.5174462500000003,1.361129095640291,36.12,69,0.09709340304834768,5376
21166,350,0.5078905000000001,1.495828187135968,38.27,71,0.12581261605373584,5576
21464,360,0.5009620000000001,1.5007442520783554,38.35,73,0.08798373441095464,5728
21963,370,0.48936025000000005,1.4953485794760362,38.92,75,0.06998235065839253,5976
22289,380,0.48178075,1.387687964590794,36.5,77,0.12596210377523676,6144
22708,390,0.4720390000000002,1.452287441156133,37.81,79,0.1634047405095771,6352
23057,400,0.4639247500000002,1.4190040536314947,37.82,81,0.08887812902685255,6528
23512,410,0.453346,1.420836271202137,37.53,84,0.1544401179999113,6752
23926,420,0.44372049999999996,1.427651976755036,37.86,86,0.0890700783347711,6960
24383,430,0.43309525000000004,1.501033462353248,39.06,89,0.09020958497421816,7184
24652,440,0.4268409999999999,1.450190201792179,37.97,90,0.19175103958696127,7320
24945,450,0.4200287500000002,1.365552121963962,36.79,92,0.11783606675453484,7472
25203,460,0.41403025000000016,1.35059391682614,36.39,93,0.11869259004015476,7600
25473,470,0.40775275000000033,1.253958233950116,34.1,95,0.12696698657236993,7736
25790,480,0.4003825,1.2648008608335146,34.01,97,0.13675802270881832,7888
26049,490,0.39436075000000037,1.191228973258234,32.41,98,0.16517934540752321,8024
26421,500,0.38571175,1.195970920448154,32.64,100,0.26720566116273403,8208
26753,510,0.37799275,1.130373086303563,31.41,102,0.17450656206347048,8376
27105,520,0.36980875000000013,1.1123501909791695,30.79,104,0.12953652464784682,8552
27442,530,0.36197349999999984,1.039620057085014,29.59,106,0.13755621144082397,8720
27726,540,0.35537050000000003,1.070478341960955,29.74,107,0.10354475094936788,8856
27993,550,0.3491627500000001,1.062193077227388,29.48,109,0.15802213607821614,8992
28214,560,0.34402449999999996,1.0620529992128136,29.11,110,0.2134583815932274,9104
28422,570,0.3391885000000002,1.043479606633209,28.49,111,0.13994935131631792,9208
28654,580,0.3337945,1.011650419064091,27.64,113,0.2124555977061391,9320
28899,590,0.3280982499999998,1.004010016652628,27.5,114,0.15869973693042994,9448
