time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss
2045,203.5,10,13.181582182302202,2,0.9524537499999999,,
3766,187.3,20,11.617950104657897,4,0.9124405,,
6217,206.23333333333332,30,13.186949204928508,7,0.8554547499999998,,
8400,209.0,40,13.152840684262637,10,0.8046999999999999,,
10248,203.96,50,12.451563847636828,13,0.7617340000000002,120,0.04938725446118042
12488,207.13333333333333,60,12.609145291423864,24,0.7096539999999998,1240,0.019171542529875296
13458,191.25714285714287,70,11.383044184036093,29,0.6871015000000003,1728,0.0575427451840369
14360,178.5,80,10.394228335689302,33,0.6661300000000001,2176,0.028929606214660453
15344,169.48888888888888,90,9.667303435843179,38,0.643252,2664,0.06743831771382247
16103,160.03,100,8.9945604551526,41,0.62560525,3048,0.03878119183355011
16650,145.05,110,7.8686969218403355,44,0.6128874999999998,3320,0.05810988660232397
16966,131.0,120,6.9708296738794635,46,0.6055405000000003,3480,0.03908548704930581
17385,110.68,130,5.51007735675151,48,0.5957987499999999,3688,0.06793291086796671
17851,93.51,140,4.390125919851092,50,0.5849642500000001,3920,0.06789954549458344
18268,79.2,150,3.5641743056195283,52,0.5752690000000001,4128,0.05893355212174356
18594,60.06,160,2.343781779674133,54,0.5676895000000001,4296,0.09675879959831946
19096,55.38,170,2.1418682676514647,56,0.556018,4544,0.05893599045521114
19608,51.48,180,1.9734079861803462,59,0.544114,4800,0.058665777221904136
19924,44.8,190,1.7006709218712814,61,0.5367669999999998,4960,0.040519777103327215
20387,41.84,200,1.6045506507778275,63,0.5260022500000001,5192,0.0972795516718179
20735,39.85,210,1.5672729305262763,65,0.5179112500000003,5360,0.07862642739200965
21164,40.98,220,1.6389027204887017,67,0.5079369999999999,5576,0.06930791170452721
21585,41.0,230,1.6093198458854772,69,0.4981487499999998,5792,0.08809760946314782
21950,39.99,240,1.5776402747677956,71,0.4896625,5968,0.08902547118486837
22313,39.45,250,1.5734916096599256,73,0.4812227499999999,6152,0.050969972857274115
22684,39.9,260,1.590875938900866,75,0.47259700000000016,6336,0.16271546948701143
23060,38.64,270,1.5415312630052709,77,0.46385500000000024,6528,0.09855754021555185
23291,35.83,280,1.4364539918528636,78,0.45848425000000015,6640,0.07052359951194376
23615,35.91,290,1.4378411919877663,80,0.4509512499999999,6800,0.1077013555332087
23994,35.07,300,1.4100312023794388,82,0.4421395,6992,0.08131141739431769
24296,34.61,310,1.354370135111654,84,0.4351179999999999,7144,0.10927732283016667
24618,33.54,320,1.2820457717678786,85,0.42763149999999994,7304,0.09198366524651647
24878,31.93,330,1.2237733414744174,87,0.4215865000000001,7432,0.18168482941109687
25190,31.4,340,1.1686001465195361,88,0.4143325,7592,0.09949600615072995
25474,30.61,350,1.1423597561611687,90,0.4077295000000002,7736,0.05601410788949579
25792,30.08,360,1.1377059832469718,91,0.40033600000000025,7888,0.14534535445272923
26111,29.51,370,1.115451239557762,93,0.39291925000000016,8048,0.16421738639473915
26461,30.7,380,1.1833839860912807,95,0.38478175000000003,8224,0.11136540840379894
26679,29.64,390,1.1447720605060245,96,0.3797132499999999,8336,0.14721434679813683
26990,28.96,400,1.0921898067507636,98,0.37248249999999994,8488,0.1730281722266227
27286,28.9,410,1.1026773077235859,99,0.3656004999999998,8640,0.16310050711035728
27648,29.3,420,1.155957961449363,101,0.35718399999999995,8816,0.148378680460155
27942,29.64,430,1.1897653775999988,103,0.35034850000000006,8968,0.1643800577148795
28258,29.68,440,1.1929604988796396,105,0.34300149999999996,9128,0.1222920793807134
28519,29.45,450,1.1870319390656194,106,0.33693324999999996,9256,0.10247132368385792
28804,29.12,460,1.1597686890395955,108,0.3303069999999999,9400,0.13482960127294064
29033,28.22,470,1.1159119703493203,109,0.3249827500000002,9512,0.1511245782021433
29371,28.1,480,1.108747383799125,111,0.31712425000000033,9680,0.16053357580676675
29642,28.63,490,1.1315631739589231,112,0.31082350000000036,9816,0.16704793507233262
29923,28.33,500,1.127716868544593,114,0.3042902499999999,9960,0.13725708215497434
30264,28.78,510,1.1679108513496486,115,0.296362,10128,0.16677263751626015
30524,27.76,520,1.1014622592934338,117,0.29031700000000016,10256,0.16555551439523697
30772,27.3,530,1.0672026582262395,118,0.2845510000000001,10384,0.12453359528444707
31001,26.43,540,1.0533603816475656,119,0.27922674999999975,10496,0.1255767922848463
31308,26.89,550,1.0791598828734024,121,0.272089,10648,0.19589571468532085
31523,26.19,560,1.0520764059877046,122,0.26709024999999986,10760,0.16274220775812864
31773,26.4,570,1.070352873003565,124,0.26127774999999986,10880,0.16568812122568488
32109,26.38,580,1.0489173846669142,125,0.2534657500000004,11048,0.14456339878961444
32340,25.98,590,1.0373386176335138,127,0.2480950000000003,11168,0.14171555126085877
32537,25.14,600,0.9908221334659626,128,0.24351475000000022,11264,0.1462435033172369
32746,23.82,610,0.9103227701894339,129,0.23865550000000035,11368,0.1892118975520134
32981,23.57,620,0.8958059498701435,130,0.23319175000000025,11488,0.16945544630289078
33261,23.89,630,0.9283886520084548,132,0.22668175000000002,11624,0.17586223129183054
33472,23.71,640,0.9163502039425943,133,0.2217760000000003,11728,0.1446026812773198
33763,23.55,650,0.9082972128744712,135,0.2150102500000003,11880,0.13129480509087443
33982,23.59,660,0.9123800400763065,136,0.2099185,11984,0.16752865072339773
34236,23.63,670,0.9011505537139758,137,0.2040130000000001,12112,0.183500780723989
34485,22.76,680,0.9002958180211597,139,0.19822374999999992,12240,0.09820074983872473
34698,22.58,690,0.880772510536515,140,0.19327150000000004,12344,0.15426169848069549
34973,23.36,700,0.9380071598425848,141,0.18687774999999984,12480,0.20823880238458514
35257,24.11,710,0.9649983475681643,143,0.18027475000000004,12624,0.19486969895660877
35484,24.03,720,0.9610792047343759,144,0.17499700000000007,12736,0.23349549155682325
35697,23.36,730,0.9013381916701065,145,0.17004475000000008,12848,0.21764958277344704
35912,23.4,740,0.9086415646920486,146,0.16504600000000036,12952,0.15609256364405155
36172,23.09,750,0.9000472365645247,148,0.15900099999999995,13080,0.19363929610699415
36363,22.81,760,0.8834711107443093,149,0.15456024999999984,13176,0.2403920479118824
36628,22.92,770,0.8878846298048694,150,0.14839900000000028,13312,0.2475973181426525
36853,22.68,780,0.8736590886457064,152,0.14316775000000004,13424,0.15836434671655297
37103,23.05,790,0.9035983300743589,153,0.13735525000000015,13544,0.20555364526808262
37330,22.57,800,0.8596907139266275,154,0.13207750000000018,13664,0.13653378654271364
37584,22.27,810,0.8503589324786338,156,0.12617200000000017,13784,0.17227918282151222
37874,22.9,820,0.8733113835020427,157,0.11942949999999997,13936,0.1762000909075141
38085,22.88,830,0.8874575981528107,158,0.11452374999999981,14040,0.2193061439320445
38280,22.68,840,0.8742563383536408,159,0.10999000000000003,14136,0.1887591457925737
38497,22.25,850,0.853947160705366,160,0.10494475000000003,14248,0.2160875080153346
38738,22.75,860,0.8942519439662122,162,0.09934149999999997,14368,0.1766181173734367
38939,22.11,870,0.8702852015212386,163,0.09466824999999979,14464,0.31254412420094013
39140,21.87,880,0.8539084391038176,164,0.08999500000000016,14568,0.2196270409040153
39353,21.5,890,0.8332373783902715,165,0.08504275000000028,14672,0.24340613652020693
39586,21.56,900,0.8493762682556246,166,0.07962550000000035,14792,0.2565938411280513
39823,21.39,910,0.857275997698368,168,0.07411525000000041,14904,0.17962197214365005
39973,19.99,920,0.7998649956431774,169,0.07062775000000032,14984,0.24720296636223793
40221,20.36,930,0.8162364102461015,170,0.07,15104,0.27657419443130493
40475,20.95,940,0.8561557359851604,172,0.07,15232,0.21685354597866535
40727,21.3,950,0.8667287465556178,173,0.07,15360,0.213975228369236
40921,20.83,960,0.8215656413043391,174,0.07,15456,0.1916163433343172
41117,20.78,970,0.8250699497261392,175,0.07,15552,0.2517260145395994
41322,20.82,980,0.8157573464278994,176,0.07,15656,0.1986272670328617
41494,20.41,990,0.7984145677441232,177,0.07,15744,0.20478528505191207
41705,20.19,1000,0.7750847073571382,178,0.07,15848,0.24386721476912498
41909,19.86,1010,0.7482070882508408,179,0.07,15952,0.24096602573990822
42065,19.92,1020,0.754151914492153,180,0.07,16032,0.25586741883307695
42276,19.55,1030,0.7581249359122847,181,0.07,16136,0.307268712669611
42439,18.64,1040,0.6973094694555904,182,0.07,16216,0.1702754395082593
42679,18.52,1050,0.6854682932883471,184,0.07,16336,0.18459426052868366
42916,18.95,1060,0.7397052577727369,185,0.07,16456,0.2339175809174776
43119,19.02,1070,0.7363916284329658,186,0.07,16552,0.22763091139495373
43318,18.96,1080,0.7277790140439794,187,0.07,16656,0.19459048099815845
43540,19.46,1090,0.7544309946284571,188,0.07,16768,0.2165688257664442
43739,19.34,1100,0.7498402240323441,190,0.07,16864,0.220810417085886
43933,19.24,1110,0.7608391095681456,191,0.07,16960,0.18682911526411772
44167,20.02,1120,0.8123662776303052,192,0.07,17080,0.2395870927721262
44379,20.03,1130,0.8016869292124084,193,0.07,17184,0.2363666696473956
44605,20.66,1140,0.8387913504857104,195,0.07,17296,0.2644414119422436
44790,20.11,1150,0.820185751540769,196,0.07,17392,0.2402520626783371
44971,19.55,1160,0.7765873211643676,197,0.07,17480,0.25936988554894924
45136,19.17,1170,0.7569197672997432,198,0.07,17560,0.29626753740012646
45349,19.31,1180,0.7726569532874135,199,0.07,17672,0.28900549188256264
45531,18.91,1190,0.7520492730335211,200,0.07,17760,0.21951563470065594
45770,19.31,1200,0.7765515360120325,201,0.07,17880,0.2294190563261509
45951,19.18,1210,0.7671203446003314,202,0.07,17968,0.2583835255354643
46129,18.62,1220,0.725743492954677,203,0.07,18064,0.2662478368729353
46371,18.92,1230,0.7320070593671609,205,0.07,18184,0.20583187509328127
46582,18.77,1240,0.7287740571488542,206,0.07,18288,0.2522675096988678
46759,18.69,1250,0.7086376811160726,207,0.07,18376,0.19429724477231503
46933,18.62,1260,0.6972027324320968,208,0.07,18464,0.26399739272892475
47134,18.98,1270,0.7173385359344827,209,0.07,18560,0.21694221533834934
47298,18.49,1280,0.689027902191825,210,0.07,18648,0.24676145985722542
47542,19.11,1290,0.7031657056299475,211,0.07,18768,0.24567593820393085
47712,18.42,1300,0.6621345825942235,212,0.07,18848,0.2577097211033106
47925,18.74,1310,0.6559888452635461,214,0.07,18960,0.20347275771200657
48143,19.14,1320,0.6894020853494741,215,0.07,19064,0.26474305242300034
48375,19.04,1330,0.6974397806578128,216,0.07,19184,0.21137258224189281
48623,19.41,1340,0.6962048540313525,218,0.07,19304,0.23034080676734447
48890,20.31,1350,0.720202386130934,219,0.07,19440,0.20635887421667576
49048,20.15,1360,0.7130303899382422,220,0.07,19520,0.23944741487503052
49288,20.54,1370,0.7189425253191059,221,0.07,19640,0.20776445604860783
49486,20.88,1380,0.7284992230825703,222,0.07,19736,0.2290290016680956
49731,20.89,1390,0.7203863645952542,224,0.07,19864,0.2361014485359192
50009,21.97,1400,0.7552891974932108,225,0.07,20000,0.25584740936756134
50372,23.47,1410,0.7835180959901765,227,0.07,20184,0.2363817859441042
50671,24.28,1420,0.7793199472037332,229,0.07,20328,0.21057243458926678
50862,23.87,1430,0.7397944121813016,230,0.07,20424,0.2360347881913185
51047,23.24,1440,0.7221496011163246,231,0.07,20520,0.23915619775652885
51329,23.39,1450,0.7370442746748138,232,0.07,20664,0.19658182933926582
51510,23.62,1460,0.7454924407556603,233,0.07,20752,0.2101472206413746
51785,23.97,1470,0.7465720530740656,234,0.07,20888,0.21883228607475758
52056,24.7,1480,0.7810443205495552,236,0.07,21024,0.21732410229742527
52326,24.95,1490,0.7898875370242406,238,0.07,21160,0.21006427332758904
52569,24.6,1500,0.7913324507160675,239,0.07,21280,0.2183727975934744
52768,22.96,1510,0.7563928279430087,240,0.07,21376,0.21773757971823215
53035,22.64,1520,0.7549412511723933,242,0.07,21512,0.20784004405140877
53308,23.46,1530,0.7831910522615964,243,0.07,21648,0.22391629219055176
53553,24.06,1540,0.8169820448413232,244,0.07,21776,0.21212251856923103
53749,23.2,1550,0.8002233164068258,245,0.07,21872,0.22398734651505947
53942,23.32,1560,0.8020846677914873,246,0.07,21968,0.21561453863978386
54228,23.43,1570,0.8258876459263829,248,0.07,22112,0.21877922490239143
54510,23.54,1580,0.811822643357775,249,0.07,22248,0.23304656520485878
54836,24.1,1590,0.8301997946677889,251,0.07,22416,0.2096423376351595
55075,24.06,1600,0.8014928796392086,252,0.07,22536,0.22520274482667446
55257,23.89,1610,0.8080586499844159,253,0.07,22624,0.22737002186477184
55471,23.36,1620,0.7958693661481869,255,0.07,22728,0.2157219685614109
55663,22.55,1630,0.7719533628304049,256,0.07,22824,0.22764370404183865
55851,21.98,1640,0.7330089234360321,257,0.07,22920,0.2107956577092409
56048,21.99,1650,0.7432487865336808,258,0.07,23016,0.19531484507024288
56297,22.55,1660,0.7621974977568723,259,0.07,23144,0.23035915195941925
56514,21.86,1670,0.7297459867405099,261,0.07,23256,0.21752528473734856
56710,21.0,1680,0.7260157631333419,262,0.07,23352,0.21573659032583237
