rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
10.2465296683979,10,1,166.6,0.9610329999999998,1676,,
7.945609190694862,20,2,130.7,0.9387595,2634,,
7.936248050485124,30,4,132.16666666666666,0.9071162500000002,3995,,
7.621303908973954,40,5,124.45,0.8833314999999997,5018,,
7.366950813014329,50,7,120.36,0.8589189999999999,6068,,
7.452423958855336,60,9,122.61666666666666,0.8275547499999999,7417,,
7.58208513255399,70,11,125.15714285714286,0.7946792500000003,8831,,
7.42474846997888,80,13,122.1,0.7710340000000002,9848,,
7.29175247499129,90,17,120.03333333333333,0.7467377500000001,10893,440,0.03822777758250595
7.3750278699727,100,23,119.88,0.7189539999999999,12088,1040,0.08592499764927197
7.16338318885909,110,30,117.91,0.6845672500000002,13567,1776,0.05736796565906843
7.002084949935486,120,34,116.85,0.66475825,14419,2208,0.0489197053539101
6.626009998407791,130,39,112.24,0.6438332500000002,15319,2656,0.09645221324171871
6.221713949194711,140,42,108.44,0.6288834999999999,15962,2976,0.07798631128389388
6.036217051495499,150,47,107.48,0.606703,16916,3456,0.05043251140159555
5.607610857883433,160,51,101.4,0.5894747500000004,17657,3824,0.07969670873717405
5.17727038016097,170,56,96.02,0.5691077500000001,18533,4264,0.08990932957385667
4.777478327855053,180,59,91.55,0.55585525,19103,4544,0.09142106847139075
4.537675029501533,190,63,89.08,0.5373017500000004,19901,4944,0.1129434261820279
3.9895275952094584,200,66,82.93,0.5238167500000002,20481,5240,0.0838977305102162
3.510964167693497,210,69,74.65,0.5086810000000002,21132,5560,0.11576038494240493
3.339694829308399,220,72,71.27,0.49673049999999985,21646,5816,0.05560759891523048
3.295595333652483,230,76,69.91,0.4789675000000001,22410,6200,0.06569876085268334
3.3576571177612697,240,80,69.86,0.46413400000000005,23048,6520,0.2296985574066639
3.141211834942211,250,82,65.33,0.45248575000000013,23549,6768,0.1420738095184788
3.162273287116794,260,86,65.74,0.4343042500000003,24331,7160,0.11936992965638638
2.967165603387217,270,89,61.36,0.42412075000000016,24769,7384,0.08036714378977194
