time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,train/loss
1,10,872,86.2,-4.422319558110248,0.9797259999999999,,
2,20,1698,83.9,-4.068417417795797,0.9605215,,
3,30,2668,87.93333333333334,-4.246661504053982,0.9379689999999999,,
4,40,3852,95.3,-4.793882082343828,0.9104409999999997,,
6,50,4638,91.76,-4.7398572842579405,0.8921664999999999,,
8,60,6154,101.56666666666666,-5.406984026960582,0.8569195000000002,,
10,70,7111,100.58571428571429,-5.280287315047238,0.83466925,,
12,80,8341,103.2625,-5.60782010036641,0.8060717500000001,,
14,90,9949,109.54444444444445,-6.146339142265195,0.7686857499999998,,
20,100,10860,107.6,-5.982678868966803,0.747505,424,0.1209699455066584
31,110,12393,114.21,-6.4861352224734325,0.7118627499999999,1192,0.04680641324375756
44,120,14250,124.52,-7.195674248158538,0.6686874999999999,2120,0.05641305852623191
53,130,15464,126.96,-7.438304591772126,0.6404619999999999,2728,0.047473985297983745
67,140,17508,135.56,-8.066302202423813,0.5929390000000003,3752,0.03836909282836132
77,150,18821,140.83,-8.17265785700977,0.5624117500000001,4408,0.11415189719991758
89,160,20559,143.05,-8.215517655469716,0.5220032500000001,5272,0.09550746731110848
95,170,21372,141.61,-8.126756726247372,0.5031010000000002,5680,0.03909168312384281
107,180,22984,145.43,-8.123899324226976,0.465622,6488,0.020760602521477267
118,190,24383,143.34,-7.757739836701624,0.43309525000000004,7184,0.09702244226355106
131,200,26155,151.95,-8.12851866952789,0.39189625000000017,8072,0.04063054491416551
141,210,27413,149.2,-7.765952561860575,0.36264775000000016,8704,0.049819687905255705
152,220,28798,144.48,-7.365880295183144,0.33044649999999975,9392,0.0504416071344167
158,230,29621,140.57,-7.018821225913605,0.31131175000000033,9808,0.07027247888618149
168,240,30899,132.91,-6.340117858225539,0.28159824999999983,10448,0.10733905507368036
181,250,32539,136.18,-6.579981710202839,0.24346824999999983,11264,0.11772720800945535
189,260,33644,129.85,-6.199668143643119,0.217777,11816,0.04183353029657155
197,270,34624,131.52,-6.289889922885157,0.1949920000000004,12304,0.06037929293233901
207,280,35930,128.46,-6.12632533931247,0.16462750000000026,12960,0.043000265199225396
216,290,37082,125.99,-5.991079183623006,0.13784350000000023,13536,0.08831453288439661
227,300,38468,122.13,-5.792194557756594,0.10561900000000024,14232,0.07167330477386713
232,310,39061,115.48,-5.491564890736197,0.09183174999999988,14528,0.09886303509119898
241,320,40163,112.65,-5.30614615234675,0.07,15080,0.03373189561534673
