rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9438744999999998,10,2,2414,240.4,-15.132811061676197,,
0.8915387499999998,20,5,4665,232.25,-15.64210149845097,,
0.8467127499999999,30,7,6593,218.76666666666668,-14.488369648231231,,
0.7855187500000002,40,11,9225,229.625,-15.063946083483023,,
0.7420412500000003,50,17,11095,220.9,-14.108115915265998,544,0.00010380207459093072
0.7049342499999998,60,25,12691,210.51666666666668,-12.764775901535433,1344,0.027778123961070378
0.6757555000000002,70,31,13946,198.22857142857143,-11.572832646456275,1968,0.03686524154363724
0.6426939999999999,80,38,15368,191.1,-10.848403763963896,2680,0.01840798873490712
0.6190487499999999,90,43,16385,181.05555555555554,-10.119028331721768,3192,0.018514403796871193
0.5972169999999999,100,48,17324,172.24,-9.475236211315991,3656,0.03641747750589275
0.5588545,110,56,18974,164.6,-8.594813007429218,4480,0.009356939222925575
0.5365810000000002,120,61,19932,151.67,-7.369896983962143,4960,0.03548331221099943
0.50354275,130,68,21353,146.6,-6.707053769076733,5672,0.061521220399299636
0.47141125000000017,140,75,22735,134.1,-5.506267056292167,6360,0.04387818537361454
0.44518524999999975,150,82,23863,126.68,-4.895875303914667,6928,0.026650986095773987
0.4075202499999998,160,90,25483,126.92,-4.874281177450258,7736,0.03503783959604334
0.38638600000000023,170,95,26392,123.46,-4.7991785938286275,8192,0.017947272426681593
0.36120625000000006,180,100,27475,120.07,-4.626101852039079,8736,0.050146858862717636
0.33509650000000024,190,106,28598,121.13,-4.588852812503293,9296,0.05753991787787527
0.31568275000000023,200,111,29433,120.09,-4.53602313429183,9712,0.04866954608587548
0.28264449999999997,210,119,30854,117.8,-4.3555858394722256,10424,0.04868256187182851
0.2619984999999999,220,123,31742,117.1,-4.256269774092787,10864,0.0724417143210303
0.23295925000000017,230,130,32991,115.38,-4.1001032701350075,11488,0.041864633501973
0.20466400000000018,240,137,34208,113.73,-4.031829909847292,12096,0.017279605992371216
0.18666850000000013,250,141,34982,110.19,-3.860409644212338,12488,0.04767633933806792
0.16137250000000003,260,146,36070,104.87,-3.5985842082456663,13032,0.018028894206508994
0.14698075000000022,270,150,36689,101.97,-3.4469931923311607,13344,0.04768737233825959
0.11552350000000011,280,157,38042,104.67,-3.483459936177505,14016,0.0324124570179265
0.08202025000000002,290,164,39483,107.85,-3.4994816905092,14736,0.06719696504296735
0.07,300,171,40862,113.29,-3.5688456743525343,15424,0.06673048093216494
0.07,310,179,42371,114.17,-3.565848564471135,16184,0.06684873474296182
0.07,320,187,43988,121.46,-3.731354390856964,16992,0.052598372858483344
0.07,330,191,44679,115.88,-3.537937824620704,17336,0.05805270338896662
0.07,340,197,45841,115.33,-3.450834870277006,17920,0.044606238428968936
0.07,350,202,46885,118.03,-3.488130939811141,18440,0.08405095338821411
0.07,360,206,47618,114.48,-3.3661387769469115,18808,0.05043577618198469
0.07,370,211,48601,118.12,-3.408364880414433,19296,0.04380253952695057
0.07,380,220,50431,122.89,-3.442870755660904,20208,0.011742756993044168
0.07,390,224,51130,115.47,-3.2486078481095353,20560,0.04159206652548164
0.07,400,227,51686,107.24,-3.038581699462443,20840,0.04182257107459009
0.07,410,229,52112,96.41,-2.7136965406879234,21048,0.04232893796870485
0.07,420,231,52618,85.3,-2.4278886426505597,21304,0.06665224308380857
0.07,430,237,53627,88.48,-2.4898355140662325,21808,0.03032482718117535
0.07,440,240,54315,83.74,-2.3564657749040983,22152,0.029489806503988802
0.07,450,244,54958,79.73,-2.256059234172079,22472,0.0416872794739902
0.07,460,247,55537,78.19,-2.2409608313068583,22768,0.0628226522821933
0.07,470,251,56321,76.2,-2.19069518868335,23160,0.02248347841668874
0.07,480,255,57049,65.18,-1.9288225175337705,23520,0.05952451145276427
