rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9888632499999999,0,46.9,10,479,2.4659135905884617,,
0.9631255000000001,1,78.3,20,1586,3.8958176519381538,,
0.9428282500000003,3,80.96666666666667,30,2459,3.904337548358956,,
0.9224379999999999,4,82.4,40,3336,3.955811925148742,,
0.9129287500000001,4,73.9,50,3745,3.4807584303930668,,
0.8991415,5,71.3,60,4338,3.3717545691731226,,
0.8735200000000001,7,76.71428571428571,70,5440,3.659823652582792,,
0.8545944999999999,8,77.175,80,6254,3.7372898647110255,,
0.83964475,10,75.63333333333334,90,6897,3.624567528740733,,
0.8117912499999999,12,79.95,100,8095,3.932427170360352,,
0.79384225,13,82.88,110,8867,4.0817506294205534,,
0.764059,16,84.62,120,10148,4.229776311095001,72,0.06730710840201937
0.7449475000000003,22,84.11,130,10970,4.250454033442666,480,0.12439710855687736
0.7235807500000002,29,84.53,140,11889,4.315240360933773,944,0.05775740839817445
0.6950995,38,92.69,150,13114,4.893799960641414,1552,0.12580947990500135
0.6727097499999999,46,96.39,160,14077,5.124567222964853,2032,0.06850862003921065
0.6577135000000003,51,91.82,170,14722,4.890413422079173,2360,0.09819276828784496
0.6349052500000001,58,93.49,180,15703,4.92270887332176,2848,0.05929907313475269
0.62142025,63,92.86,190,16283,4.918534701367551,3136,0.07958127230813261
0.6044477500000003,68,88.18,200,17013,4.60426933167992,3504,0.10983542809844948
0.5893585000000001,73,86.95,210,17662,4.473240997291441,3824,0.11035614892898593
0.5675267500000001,81,83.53,220,18601,4.209719715934795,4296,0.10093455337482737
0.5474387500000001,88,83.95,230,19465,4.159261657383873,4728,0.12266609573271126
0.5362787500000004,92,79.56,240,19945,3.8693093798267046,4968,0.134020127938129
0.5258859999999999,95,71.78,250,20392,3.3088558854787347,5192,0.1438103228865657
0.5170277500000001,98,65.96,260,20773,2.9570795371731147,5384,0.12280026823282242
0.5059375000000003,102,64.28,270,21250,2.8432692446884364,5624,0.10436703165760264
0.49559125000000015,106,58.92,280,21695,2.5697336346362083,5840,0.17739401740254834
0.48859300000000017,108,56.13,290,21996,2.4033816137220456,5992,0.07406653132056817
0.47920000000000007,112,52.87,300,22400,2.2012105076976876,6192,0.10503453045384958
0.4700859999999998,115,50.3,310,22792,2.0989784976020163,6392,0.15693554366589524
0.46241350000000014,118,44.21,320,23122,1.8089177812628205,6560,0.15848939822171815
0.4519277500000001,121,40.08,330,23573,1.6418735562949793,6784,0.11639614627347328
0.44260449999999996,125,39.29,340,23974,1.5951851331333662,6984,0.23086013086140156
0.4322582500000003,128,39.27,350,24419,1.5895933216958802,7208,0.10738122163456865
0.42009850000000015,132,40.69,360,24942,1.6366638549617756,7464,0.17998982942663133
0.4146812500000002,134,38.25,370,25175,1.527380971117883,7584,0.08624978715670295
0.4031957500000004,138,38.74,380,25669,1.516503689643826,7832,0.17253364127827808
0.39624400000000026,141,38.72,390,25968,1.5253684794463462,7976,0.18390086106956005
0.38615350000000026,144,39.02,400,26402,1.5452232442487221,8200,0.1865145293995738
0.3792715000000001,147,38.06,410,26698,1.5075048664485704,8344,0.19409597653429955
0.36969249999999976,150,38.88,420,27110,1.5482587135681554,8552,0.1400374285876751
0.3564400000000002,155,40.07,430,27680,1.5740735753203834,8832,0.1337120413663797
0.3468842500000001,159,40.17,440,28091,1.6038722253843463,9040,0.16543993004597723
0.3351662500000002,163,40.76,450,28595,1.6304328204809533,9296,0.19051004480570555
0.32647075000000014,166,39.27,460,28969,1.563016233748393,9480,0.17047728097531945
0.31803099999999995,169,40.57,470,29332,1.6196070526522626,9664,0.12421879329485819
0.3061502500000002,173,40.74,480,29843,1.6495243673711177,9920,0.16101515520131215
0.29536225000000027,177,42.39,490,30307,1.728882670860555,10152,0.19164009671658278
0.2846440000000001,181,42.66,500,30768,1.7235541435543587,10376,0.19352126959711313
0.2803195000000003,183,41.56,510,30954,1.6493177403795878,10472,0.20418347138911486
0.26992674999999977,186,41.91,520,31401,1.658440870403557,10696,0.1536500818328932
0.2624867500000001,189,39.41,530,31721,1.5557814231548204,10856,0.14363943843636662
0.25869700000000007,191,36.93,540,31884,1.4546726644363093,10936,0.16494381299708039
0.25118725,193,35.12,550,32207,1.3918728468437482,11096,0.2904102513566613
0.24121300000000012,197,35.67,560,32636,1.4023289329317268,11312,0.27957835886627436
0.23175025000000016,200,36.11,570,33043,1.4126360498945936,11520,0.2144899358972907
0.2251007500000004,203,33.86,580,33329,1.3101825828183147,11664,0.179990753531456
0.22072975000000017,204,31.1,590,33517,1.1949135542095575,11752,0.2118998346850276
0.21324325000000022,207,29.71,600,33839,1.1395395228218432,11912,0.22433163155801594
0.20538475000000023,210,31.23,610,34177,1.2014020526417408,12088,0.2389387828297913
0.19738675000000006,213,30.2,620,34521,1.1512182162650748,12256,0.23066850611940026
0.19143474999999976,215,29.56,630,34777,1.121857308488081,12384,0.25502947717905045
0.18471550000000014,218,30.82,640,35066,1.1519455390824889,12528,0.22080312599427998
0.17908899999999994,220,30.01,650,35308,1.112316330056003,12648,0.2622354165650904
