time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss
2686,267.6,10,15.785001813449208,2,0.9375504999999997,,
4929,245.45,20,15.451147285991619,5,0.8854007499999998,,
7371,244.7,30,16.986470931760973,8,0.8286242500000002,,
10099,251.475,40,18.413388203812794,13,0.7651982500000002,48,0.05226701789069921
11891,236.82,50,17.230219017112876,21,0.7235342499999999,944,8.162114454535185e-05
13035,216.25,60,15.192027195251558,26,0.6969362500000001,1512,0.00012158578465459868
13974,198.62857142857143,70,13.689286430339687,31,0.6751045000000001,1984,0.019381094632990425
14881,185.0125,80,12.55245505603313,35,0.6540167499999998,2440,0.03866024922535871
15478,170.9777777777778,90,11.406141554609096,38,0.6401365000000002,2736,0.009985505803342676
16414,163.14,100,10.639284686697424,43,0.6183745,3200,0.029403937434835825
17314,145.28,110,9.445200693000803,47,0.5974494999999999,3656,0.058360982351587154
17963,129.34,120,8.228955482571797,51,0.5823602500000001,3976,0.03934639406361384
18662,111.91,130,6.509634055105537,54,0.5661085,4328,0.06918025478080381
19123,89.24,140,4.450818519955341,57,0.5553902500000001,4560,0.030389224499231204
19628,76.37,150,3.4153991010638767,59,0.543649,4808,0.05966476573667023
20041,69.06,160,3.0632361424795795,61,0.5340467500000001,5016,0.05022215579811018
20431,63.57,170,2.77821297703673,63,0.5249792500000001,5208,0.05124000433715992
20814,58.33,180,2.4889484810636766,65,0.5160745000000001,5400,0.10802748129935935
21219,56.41,190,2.4317888354693604,67,0.5066582499999999,5608,0.08003580605145544
21790,52.76,200,2.3177800049970223,70,0.49338250000000017,5888,0.0901407040655613
22295,48.81,210,2.1379488387125116,73,0.48164125000000013,6144,0.05140305947861634
22813,47.5,220,2.084568665328177,76,0.46959775000000026,6400,0.09248712367843837
23427,46.65,230,2.0690937806936294,79,0.45532225000000015,6712,0.11144407361280173
23917,46.94,240,2.0628649685343086,81,0.4439297499999999,6952,0.06275012594414875
24344,46.16,250,2.023725683358689,84,0.4340019999999999,7168,0.12042753025889397
24813,46.72,260,2.0578166399121094,86,0.42309775000000016,7400,0.0530917679425329
25302,47.71,270,2.070746642471959,89,0.41172850000000005,7648,0.04447473428444937
25735,48.21,280,2.0649652149878146,91,0.4016612500000002,7864,0.09239017782965675
26140,48.21,290,2.0522685872366417,93,0.39224499999999984,8064,0.08228897402295843
26512,46.22,300,1.9663035351525695,95,0.38359600000000005,8248,0.0751650495803915
26913,45.18,310,1.9647946437717543,97,0.3742727499999998,8456,0.14208843593951315
27360,44.47,320,1.9008110373286633,99,0.36387999999999987,8672,0.09305486199446023
27781,42.54,330,1.7899602568380621,102,0.3540917499999998,8888,0.10339603252941743
28058,40.41,340,1.699829895036701,103,0.3476514999999999,9024,0.1118841707939282
28438,39.94,350,1.6628541229799858,105,0.33881649999999985,9216,0.07659261277876794
28864,39.51,360,1.6555153214601188,108,0.3289120000000001,9424,0.09724060643929988
29176,37.74,370,1.5773963913051483,109,0.3216580000000001,9584,0.11332762858364731
29488,36.53,380,1.5503571125565307,111,0.314404,9736,0.13592347130179405
29851,36.11,390,1.5515903755797007,113,0.30596424999999994,9920,0.11506415600888431
30267,36.55,400,1.554650849497029,115,0.29629225000000003,10128,0.16222984343767166
30651,36.38,410,1.5079046839036534,117,0.28736425,10320,0.06984235323034227
31050,35.9,420,1.4828977904401943,120,0.27808750000000004,10520,0.13429802272003144
31410,35.29,430,1.4706359064755727,122,0.26971750000000005,10704,0.07166985073126853
31809,36.51,440,1.5187019595500888,124,0.2604407500000001,10904,0.1388954750727862
32246,37.08,450,1.5672694275360042,126,0.25028050000000024,11120,0.1232078408356756
32744,37.8,460,1.575148714265897,129,0.2387020000000002,11368,0.1697651855647564
33179,39.03,470,1.6121351469139389,131,0.22858824999999994,11584,0.13758603809401393
33505,39.17,480,1.6029136557769654,133,0.22100874999999987,11752,0.1555403412785381
33952,40.01,490,1.629685681136296,136,0.21061600000000003,11968,0.08459376287646592
34205,38.38,500,1.53925998987452,137,0.20473375000000016,12096,0.1476529953069985
34595,38.44,510,1.5537134298501685,139,0.19566625000000015,12296,0.09220292908139527
34939,37.89,520,1.5584198953852648,141,0.18766824999999987,12464,0.15587638155557215
35295,37.85,530,1.5483254175344456,143,0.17939125000000045,12640,0.24267243221402168
35697,37.88,540,1.5486961454878867,145,0.17004475000000008,12848,0.16974077839404345
36004,36.58,550,1.4889854922346575,147,0.1629069999999998,13000,0.1992981880903244
36299,34.55,560,1.4197402918681905,148,0.15604825000000033,13144,0.15447458066046238
36629,33.5,570,1.372282982843019,150,0.14837575000000003,13312,0.09954136121086776
36913,33.08,580,1.3544311510416684,152,0.14177275000000011,13456,0.17596421716734767
37315,32.63,590,1.3306041130804456,154,0.1324262500000003,13656,0.2367056356742978
37615,33.1,600,1.3640330496569597,156,0.12545125000000013,13800,0.17037432338111103
37946,32.51,610,1.3107218445909066,157,0.11775550000000035,13968,0.16307624825276434
38236,31.97,620,1.2465378342054216,159,0.11101300000000003,14112,0.13604189502075315
38473,30.78,630,1.2002072350095079,160,0.10550275000000009,14232,0.21313110832124949
38857,30.6,640,1.1972829596556838,162,0.09657474999999993,14424,0.12732649687677622
39213,31.09,650,1.1918719238591016,164,0.0882977500000004,14600,0.17827540636062622
39574,31.75,660,1.2134817691245834,166,0.07990450000000004,14784,0.16042675729840994
39853,31.24,670,1.2064384191212347,167,0.07341774999999995,14920,0.21795823657885194
40110,30.97,680,1.18567509303382,169,0.07,15048,0.12779388460330665
40386,29.71,690,1.1328319358083412,171,0.07,15192,0.16350061912089586
40709,29.94,700,1.1286303515610379,172,0.07,15352,0.1485203595366329
41002,29.56,710,1.1166234099907184,174,0.07,15496,0.18408558680675924
41293,29.57,720,1.1168154527417076,175,0.07,15640,0.18589888978749514
41578,30.05,730,1.1384845819651814,177,0.07,15784,0.18722311314195395
41982,30.25,740,1.1268098464791014,179,0.07,15984,0.22046584449708462
42275,29.62,750,1.1068412213714371,181,0.07,16136,0.19763566041365266
42551,28.77,760,1.090627468152751,182,0.07,16272,0.16698807291686535
42833,28.8,770,1.102708483774871,184,0.07,16416,0.2076727682724595
43105,28.95,780,1.1028926855616554,185,0.07,16552,0.22533193603157997
43393,29.07,790,1.0973156561754784,186,0.07,16696,0.20402720803394914
43700,28.91,800,1.0914288894468633,188,0.07,16848,0.2179796602576971
43926,28.24,810,1.061782838296449,189,0.07,16960,0.1774048451334238
44163,27.7,820,1.045944449655467,190,0.07,17080,0.20321100763976574
44424,27.46,830,1.0217627033828007,192,0.07,17208,0.24663909059017897
44770,26.88,840,1.0021075658258112,194,0.07,17384,0.16914972802624106
45026,26.51,850,0.9911510449028909,195,0.07,17512,0.22036761697381735
45259,26.08,860,0.9660979544046,196,0.07,17624,0.21780042257159948
45532,25.99,870,0.9781064736950826,198,0.07,17760,0.3130242209881544
45789,25.84,880,0.9829578719432179,199,0.07,17888,0.19977809814736247
46135,26.42,890,1.0067360191580947,201,0.07,18064,0.21134976483881474
46400,26.0,900,0.975663187428479,202,0.07,18192,0.23374950047582388
46661,26.35,910,0.9870903851782135,203,0.07,18328,0.16759667871519923
46962,26.99,920,1.0181853053114336,205,0.07,18480,0.1976970168761909
47343,28.19,930,1.064110014794248,207,0.07,18664,0.1424975674599409
47647,27.77,940,1.0332957217736234,208,0.07,18816,0.25946651212871075
47974,28.48,950,1.0579932913506147,210,0.07,18984,0.25312203262001276
48223,28.64,960,1.0443686690078602,212,0.07,19104,0.2078691991046071
48591,29.59,970,1.028862493408278,213,0.07,19288,0.18297623423859477
48951,30.62,980,1.0587568406790067,215,0.07,19472,0.26841173879802227
49237,30.02,990,1.0395998349113336,217,0.07,19616,0.19698641262948513
49702,32.02,1000,1.112195922368479,219,0.07,19848,0.2994538238272071
49973,32.12,1010,1.1237801017772773,221,0.07,19984,0.2697282647714019
50345,32.83,1020,1.1385423147766698,222,0.07,20168,0.2475448241457343
