rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates
0.9826554999999999,10,3,4.970814768549289,746,73.6,,
0.9604750000000002,20,4,5.524630579221012,1700,84.0,,
0.9497799999999998,30,5,4.722478830225372,2160,71.0,,
0.9367600000000003,40,5,4.317856330532582,2720,67.0,,
0.9186715,50,6,4.493165795908066,3498,68.96,,
0.8967002500000001,60,7,4.800925191802026,4443,73.05,,
0.8786349999999999,70,9,4.838550223423724,5220,73.57142857142857,,
0.8537109999999998,80,10,5.150895941401329,6292,77.65,,
0.8297634999999999,90,12,5.324029362632476,7322,80.35555555555555,,
0.8005847500000003,100,13,5.748649035122648,8577,84.77,,
0.77659075,110,15,5.963258576549014,9609,87.63,,
0.7522712500000002,120,19,6.114199470248103,10655,88.55,0.0853978864470264,320
0.7286492499999998,130,24,6.493499353023827,11671,94.11,0.09557858323387336,832
0.7112349999999998,140,28,6.6021763906399125,12420,96.0,0.09576088743415312,1208
0.6960062500000002,150,31,6.441243242339652,13075,94.77,0.11504208926635329,1536
0.6789872500000003,160,35,6.233248056372942,13807,92.64,0.07776728679891676,1896
0.6597595000000003,170,40,6.167165312598314,14634,93.14,0.10793822233972605,2312
0.6353005,180,47,6.013341450890255,15686,92.94,0.10957615805091336,2840
0.6243497500000001,190,49,5.562186526379114,16157,87.35,0.11940783719182946,3072
0.6145615,200,52,4.820865565831897,16578,79.01,0.16927218344062567,3288
0.57910525,210,60,4.971417110406407,18103,83.94,0.09536114049842581,4048
0.55980775,220,64,4.645484221448264,18933,81.78,0.0653461561887525,4464
0.5393245000000001,230,69,4.4552187214333765,19814,80.43,0.18488414585590363,4904
0.5191202499999998,240,74,4.494234200730658,20683,81.63,0.12039125408045948,5336
0.49721874999999993,250,79,4.637453830831476,21625,84.5,0.12325895205140114,5808
0.4591120000000002,260,88,5.15547029513181,23264,93.57,0.104138562688604,6624
0.42070299999999994,270,97,5.614064606548893,24916,101.82,0.1759881522739306,7456
0.3734124999999999,280,109,6.107647999119202,26950,111.64,0.08629963087150827,8472
0.33774700000000013,290,117,6.7073064081712745,28484,122.27,0.11451256566215307,9240
0.3191702500000003,300,122,6.905142055519659,29283,126.05,0.11538003390887752,9640
0.2841790000000002,310,130,6.804859069922026,30788,125.85,0.14262704638531432,10392
0.25825525000000027,320,137,6.906299134279141,31903,128.7,0.17043824412394315,10944
0.22691424999999987,330,145,7.0536699262519775,33251,133.37,0.09423394000623375,11624
0.18490150000000038,340,155,7.46061096277525,35058,142.75,0.09740698989480734,12528
0.15523450000000005,350,163,7.592688852207584,36334,146.09,0.1356578302802518,13160
0.13172874999999995,360,169,7.102950255266692,37345,139.81,0.19136101828189567,13672
0.09701650000000017,370,177,6.894312241897661,38838,138.22,0.1381243398063816,14416
0.07,380,184,6.352039513231606,40059,130.09,0.06148048082832247,15024
0.07,390,192,6.1052517686746866,41494,129.1,0.12769035232486203,15744
0.07,400,199,6.245484424321388,42883,135.0,0.08672640251461416,16440
0.07,410,204,5.823943875831713,43808,129.2,0.11484780767932534,16896
0.07,420,209,5.631958084961219,44669,126.66,0.15477834513876587,17328
0.07,430,215,5.445130952500867,45873,125.22,0.14165358321042731,17936
0.07,440,222,5.047746735439196,47033,118.75,0.1845176893984899,18512
0.07,450,230,5.029566816413634,48628,121.94,0.224701015278697,19312
0.07,460,237,4.954623657801614,49747,123.02,0.14241173065965995,19872
0.07,470,244,4.796124697875226,51160,122.22,0.14463508932385594,20576
0.07,480,252,4.8092088662529315,52505,123.46,0.15823867404833436,21248
0.07,490,260,4.8791520268077395,54138,125.44,0.08894203748786822,22064
0.07,500,273,5.280797634485938,56502,135.19,0.14590853289701045,23248
0.07,510,279,5.42548645151509,57608,137.0,0.07691435544984415,23800
0.07,520,288,5.73197160189628,59130,143.61,0.14714469271712005,24560
0.07,530,297,6.001015067635843,60861,148.88,0.10571306885685772,25424
0.07,540,309,6.398347540712047,62724,155.91,0.09135528217302635,26360
0.07,550,322,6.59450828878663,64523,157.95,0.17743021517526358,27256
0.07,560,329,6.722272422587284,65616,157.69,0.19326379738049582,27800
0.07,570,340,6.952586017372401,67392,161.32,0.15014440740924329,28688
0.07,580,350,7.181665327894212,69148,165.43,0.10827438364503905,29568
0.07,590,361,7.415783619393207,71209,169.71,0.1215990777418483,30600
0.07,600,370,7.073339579754833,72636,160.34,0.12058773369062692,31312
0.07,610,382,7.454370829382417,74690,169.82,0.13719406392192468,32344
0.07,620,394,7.720957069994822,76887,176.57,0.0941972330911085,33440
0.07,630,405,7.908620099821511,78933,179.72,0.07999902090523392,34464
0.07,640,416,7.884956925673745,80896,180.72,0.15416973904939368,35440
0.07,650,429,8.118289981397963,83346,187.23,0.07930790516547859,36672
0.07,660,441,8.547536326177642,85674,199.58,0.0949708073749207,37832
0.07,670,455,8.899733295213434,88119,206.27,0.13855504768434912,39056
0.07,680,466,8.952441164114527,90084,208.36,0.09594835009193048,40040
0.07,690,476,8.759407483888117,91764,204.55,0.0950318559189327,40880
0.07,700,487,8.933450501429924,93730,209.94,0.10689995891880244,41864
0.07,710,500,9.04624036279512,96186,213.96,0.13954301355988719,43088
0.07,720,511,8.989500707692406,98169,211.82,0.06394903163891286,44080
0.07,730,524,9.071282279296133,100662,216.29,0.07805170741630718,45328
0.07,740,536,9.094424675503769,102828,218.32,0.09430725761922076,46408
0.07,750,548,9.04917172733225,105075,216.29,0.16776623541954905,47536
0.07,760,561,9.16579791823294,107465,216.91,0.06399254954885691,48728
0.07,770,573,9.05068405590716,109795,215.76,0.049053843453293666,49896
0.07,780,587,9.187979988124146,112273,220.89,0.0779671375930775,51136
0.07,790,602,9.626434320734816,115193,233.29,0.12066401001357008,52592
0.07,800,614,9.634989995769804,117280,234.5,0.0614502034150064,53632
0.07,810,623,9.29546210392952,118906,226.2,0.12000837162486278,54448
0.07,820,633,9.152635897496843,120734,224.65,0.10708582188817672,55360
0.07,830,643,8.985779088662095,122660,218.98,0.0908688127528876,56328
0.07,840,659,9.400811460426096,125614,226.86,0.04807926501962356,57800
0.07,850,672,9.522716851290433,128158,229.83,0.031177716824458912,59072
0.07,860,686,9.614228645542465,130676,231.11,0.07379507947189268,60336
0.07,870,698,9.665843404661143,132982,230.87,0.031591125996783376,61488
0.07,880,711,9.715049014959112,135391,230.18,0.045918853356852196,62688
0.07,890,726,9.756374581003804,138224,229.31,0.03135942145308945,64104
0.07,900,739,9.896336039951425,140517,231.37,0.07333133257634472,65256
0.07,910,752,10.362727391139408,143030,240.24,0.000944969906413462,66512
0.07,920,766,10.75702691795365,145614,247.8,0.060352272310410626,67800
0.07,930,778,10.85411411211679,147879,251.19,0.0594760785534163,68936
0.07,940,793,10.798628622316587,150720,250.06,0.03192398956161924,70352
0.07,950,807,10.810438871687438,153323,250.65,0.015461293405678589,71656
0.07,960,823,10.936468251440452,156201,254.25,0.029627667463500984,73096
0.07,970,836,10.988913764214967,158606,255.24,0.0008622192908660509,74296
0.07,980,850,11.237374546287022,161380,258.89,0.031206315754388925,75688
0.07,990,862,11.097782908755036,163608,252.84,0.030377517970919143,76800
0.07,1000,876,11.411140566385438,166345,257.28,0.015844207628106233,78168
0.07,1010,890,11.504737437644021,168980,258.5,0.03049369702785043,79488
0.07,1020,905,11.567884788632991,171650,259.36,0.015441273451870074,80824
0.07,1030,917,11.705971327397771,174043,260.64,0.04487255281856051,82016
0.07,1040,931,11.659918330389862,176675,258.55,0.014880518425343325,83336
0.07,1050,945,11.673319282725139,179312,258.89,0.0011278050151304342,84648
0.07,1060,958,11.536303134000635,181860,255.59,0.07359947728036786,85928
0.07,1070,973,11.63694232259541,184660,259.54,0.0006148503380245529,87328
0.07,1080,987,11.586135164769573,187391,259.11,0.030500673965434544,88688
0.07,1090,1001,11.670764173246383,189921,262.13,0.03010700456070481,89960
0.07,1100,1014,11.549380355013039,192488,260.43,0.04395154032681603,91240
0.07,1110,1026,11.340690891026348,194751,256.71,0.04416988550656242,92368
0.07,1120,1039,11.237032203801764,197166,254.16,0.0007419924804707989,93576
0.07,1130,1055,11.422268885668345,200055,259.12,0.0006000497305649333,95024
