rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates
0.9735415000000002,10,1,-7.3948434317042295,1138,112.8,,
0.9599170000000001,20,1,-5.224108625726452,1724,85.2,,
0.947362,30,2,-4.534800718446931,2264,74.46666666666667,,
0.9317379999999998,40,3,-4.37587945571226,2936,72.4,,
0.9094645000000001,50,4,-4.670444547549492,3894,76.88,,
0.9014432500000001,60,4,-4.2471787964877015,4239,69.65,,
0.8954215,70,5,-3.8268271939211496,4498,63.25714285714286,,
0.8810529999999998,80,6,-3.7921902961968357,5116,62.95,,
0.8696837500000002,90,6,-3.7058948841564465,5605,61.27777777777778,,
0.8569195000000002,100,7,-3.6447191744911938,6154,60.54,,
0.8470615000000001,110,8,-3.135515097319238,6578,53.4,,
0.8336695000000002,120,8,-3.1334109421427443,7154,53.3,,
0.8223932500000001,130,9,-3.0991380420632213,7639,52.75,,
0.8148370000000003,140,10,-2.881258481773433,7964,49.28,,
0.8066530000000003,150,10,-2.480361370148242,8316,43.22,,
0.7949117500000003,160,11,-2.5372382018060624,8821,44.82,,
0.7804735000000002,170,12,-2.7459994880525973,9442,48.44,,
0.7720802499999999,180,12,-2.579916895624283,9803,45.87,,
0.7664769999999999,190,13,-2.3869470877988714,10044,43.39,0.18508251364983153,16
0.74869075,200,17,-2.649212827600162,10809,45.55,0.1932329815608682,400
0.7187680000000001,210,23,-3.1676057639980497,12096,54.18,0.16517208333243616,1040
0.7022837500000001,220,27,-3.2580943412901986,12805,55.51,0.13768524333136156,1400
0.6840325000000003,230,31,-3.398558769393452,13590,58.51,0.15605917409993708,1792
0.6662462499999999,240,35,-3.5978340973131733,14355,62.91,0.04130480281310156,2176
0.6408805,250,40,-4.0303140515327796,15446,70.3,0.10485162335680798,2720
0.6296739999999998,260,42,-4.031540462366769,15928,70.07,0.17504918947815895,2960
0.6085862500000001,270,47,-4.205674981994192,16835,72.93,0.09797018929384649,3416
0.58124425,280,53,-4.6550765264071305,18011,81.08,0.20228205365128815,4000
0.56255125,290,58,-4.987133969735618,18815,86.71,0.14938416448421776,4400
0.5509960000000002,300,60,-4.713870114155628,19312,84.03,0.17657417699228972,4648
0.5356509999999999,310,64,-4.315082814635597,19972,77.76,0.12489189160987735,4984
0.5015200000000002,320,72,-4.736534743206058,21440,85.35,0.15817983075976372,5712
0.47780500000000026,330,77,-4.874371297746862,22460,87.7,0.15745252557098866,6224
0.44539450000000014,340,85,-5.239030464627698,23854,93.99,0.11569967120885849,6920
0.4125422500000002,350,92,-5.372119393223819,25267,97.21,0.13447227783035487,7632
0.3882692500000001,360,98,-5.639118603372614,26311,102.83,0.13150739413686097,8152
0.3544637500000002,370,106,-5.88271432413653,27765,108.3,0.1211353613762185,8880
0.3277960000000001,380,112,-5.832627838757139,28912,108.01,0.13017803290858865,9448
0.29543200000000014,390,120,-6.085735906987028,30304,113.89,0.1379034803248942,10144
0.261115,400,129,-6.537718024677564,31780,123.68,0.17064872500486672,10888
0.23063424999999993,410,136,-6.8338306817075365,33091,130.19,0.13743886724114418,11544
0.18373899999999999,420,147,-6.981541096133771,35108,135.68,0.12579993600957096,12552
0.13730875000000042,430,158,-7.402635859667084,37105,145.45,0.051644138526171446,13552
0.09064600000000034,440,169,-7.624250779808931,39112,151.58,0.10767412174027413,14552
0.07,450,177,-7.587380507025288,40657,152.9,0.12540536653250456,15328
0.07,460,185,-7.727293292131411,42203,157.92,0.13308972091181204,16096
0.07,470,192,-7.536867889739417,43388,155.23,0.12518374115461484,16688
0.07,480,197,-7.391873345540453,44276,152.64,0.06667071633273736,17136
0.07,490,200,-6.975339024214592,44867,144.63,0.1256874839309603,17432
0.07,500,205,-6.755968302715421,45901,140.21,0.09094034973531961,17944
0.07,510,209,-6.482420993104049,46688,134.97,0.07486004376551136,18336
0.07,520,218,-6.25457412422477,48208,130.0,0.07540876197163016,19096
0.07,530,226,-6.038583529869254,49812,126.07,0.13477263686945662,19904
0.07,540,233,-5.722849416976545,51129,119.17,0.0923119398066774,20560
0.07,550,241,-5.771502157126614,52692,119.35,0.0669687557965517,21344
0.07,560,247,-5.631347250859656,53827,115.24,0.10814667865633965,21912
0.07,570,252,-5.47286586304566,54702,112.14,0.08412562543526292,22344
0.07,580,259,-5.652597981029843,56020,116.44,0.11693866574205458,23008
0.07,590,266,-5.958676096227116,57243,122.76,0.07416803881642409,23616
0.07,600,273,-6.047699895337927,58566,125.65,0.09975519363069907,24280
0.07,610,280,-6.363984493874275,60027,132.39,0.09220065700355917,25008
0.07,620,286,-6.121048265630955,61085,127.77,0.08364383899606764,25536
0.07,630,295,-6.1839311383840405,62774,128.62,0.1275380855659023,26384
0.07,640,303,-6.252030038222809,64267,130.38,0.11942699953215197,27128
0.07,650,309,-5.986453097850569,65324,125.32,0.09285313019063324,27656
0.07,660,315,-5.940197792413503,66437,125.1,0.029725602100370452,28216
0.07,670,323,-6.185647281210297,68005,132.03,0.10281460778787732,29000
0.07,680,327,-5.851483710493762,68682,125.62,0.05563666782109067,29336
0.07,690,331,-5.627363260469874,69543,122.0,0.10217247053515166,29768
0.07,700,336,-5.442047852747563,70511,118.45,0.08463076845509931,30248
0.07,710,342,-5.21807769197709,71535,114.08,0.07668452122015879,30760
0.07,720,346,-5.0136162867278165,72163,109.78,0.08359423413639888,31080
0.07,730,350,-4.491416111613676,72872,99.98,0.09258295313338749,31432
0.07,740,358,-4.5390282231572066,74428,100.61,0.08359267679043114,32208
0.07,750,367,-4.7790806525313,76023,105.99,0.06881498673465103,33008
0.07,760,378,-5.213434910760339,78112,115.75,0.02968997129937634,34048
0.07,770,391,-5.65841874933582,80637,125.32,0.04434021364431828,35312
0.07,780,403,-6.310920107295277,82900,141.18,0.0721441104542464,36448
0.07,790,412,-6.601028785941221,84440,147.97,0.1092596824746579,37216
0.07,800,424,-7.112433260583455,86775,161.64,0.08525749249383807,38384
0.07,810,433,-7.343723905782642,88381,167.46,0.06608508719364181,39184
0.07,820,438,-7.532948123268997,89462,171.99,0.05731194780673832,39728
0.07,830,453,-8.363277441374041,92083,191.11,0.0709798433817923,41040
0.07,840,463,-8.560110856421367,94019,194.91,0.05369720351882279,42008
0.07,850,474,-8.87725147690541,96142,200.19,0.08915570646058768,43064
0.07,860,487,-9.177894474927646,98560,203.48,0.09630513889715075,44272
0.07,870,500,-9.285925899585852,100974,202.37,0.07600658689625561,45480
0.07,880,509,-9.187333536093675,102679,196.79,0.05413381359539926,46336
0.07,890,524,-9.83861893453876,105318,207.78,0.050364591646939516,47656
0.07,900,535,-9.84117194623692,107418,205.43,0.13377288077026606,48704
0.07,910,549,-10.261047489164012,109956,214.75,0.11285585258156061,49976
0.07,920,564,-11.0803546610791,112780,232.18,0.14324510004371405,51384
0.07,930,577,-11.027404294785642,115243,230.6,0.16507202433422208,52616
0.07,940,592,-11.369527729202877,118038,239.19,0.1747985789552331,54016
0.07,950,605,-11.44514818593112,120393,241.51,0.17855173721909523,55192
0.07,960,620,-11.640943066638618,123187,245.27,0.19324442744255066,56592
0.07,970,636,-12.030445470288042,126169,250.95,0.23085789941251278,58080
0.07,980,650,-12.695984922598324,128937,261.58,0.27479098178446293,59464
0.07,990,666,-13.450298258890468,131937,265.19,0.25305718742311,60968
0.07,1000,682,-15.539637914482837,134937,274.19,0.2743132710456848,62464
0.07,1010,698,-16.76999969846172,137937,278.81,0.25681692734360695,63968
0.07,1020,710,-16.640106420857936,140088,272.08,0.2429932365193963,65040
0.07,1030,724,-17.05118291407732,142904,275.61,0.25441933795809746,66448
0.07,1040,735,-16.91050112523953,144805,266.67,0.23130177333950996,67400
0.07,1050,737,-16.12833747266406,145324,248.31,0.30121116898953915,67656
0.07,1060,742,-15.159194176526043,146151,228.64,0.35903237760066986,68072
0.07,1070,744,-13.757398943006741,146541,202.72,0.294560544192791,68264
0.07,1080,748,-12.600212734802152,147248,182.11,0.29746172670274973,68616
0.07,1090,757,-11.4885025449936,149042,170.05,0.3445393145084381,69520
0.07,1100,769,-9.595591785013228,151194,161.57,0.45271487534046173,70592
0.07,1110,785,-8.9672387132201,154194,161.57,0.4631473012268543,72096
0.07,1120,797,-8.883799274379022,156472,162.84,0.5186544843018055,73232
0.07,1130,811,-8.65382903758168,159148,161.44,0.5085866563022137,74568
0.07,1140,823,-8.581212784682847,161417,165.12,0.5450430512428284,75704
0.07,1150,839,-9.537310965392575,164318,188.94,0.5968712903559208,77152
0.07,1160,850,-10.154470767628645,166430,201.79,0.5757849216461182,78208
0.07,1170,863,-11.18850553397388,168822,221.81,0.6147390268743038,79408
0.07,1180,875,-12.065529919456424,171088,237.4,0.521541828289628,80536
0.07,1190,891,-12.7209147590864,174016,248.74,0.49682724848389626,82000
0.07,1200,897,-12.14079951543017,175051,237.57,0.4814030732959509,82520
