rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-14.920000000000064,149.2,1,1502,0.9650785,10,,
-14.050000000000036,140.5,3,2830,0.9342025,20,,
-12.073333333333355,120.73333333333333,4,3652,0.9150910000000003,30,,
-10.412500000000017,104.125,5,4205,0.9022337500000002,40,,
-10.988000000000023,109.88,7,5544,0.8711020000000002,50,,
-11.011666666666692,110.11666666666666,9,6667,0.84499225,60,,
-10.888571428571453,108.88571428571429,11,7692,0.8211609999999998,70,,
-10.773750000000021,107.7375,12,8699,0.7977482500000003,80,,
-10.867777777777802,108.67777777777778,14,9871,0.7704992499999999,90,,
-11.249000000000024,112.49,24,11349,0.7361357499999999,100,672,0.05668507756308827
-11.089000000000024,110.89,33,12691,0.7049342499999998,110,1344,0.0869041190144344
-11.567000000000032,115.67,46,14497,0.66294475,120,2248,0.04919573919323739
-13.033000000000039,130.33,62,16785,0.60974875,130,3392,0.030381162634512293
-13.549000000000044,135.49,70,17854,0.5848945000000002,140,3920,0.10137821102398448
-13.37200000000004,133.72,78,19016,0.5578779999999999,150,4504,0.10228060698500485
-14.215000000000042,142.15,92,20982,0.5121684999999998,160,5488,0.04225653933463036
-13.88500000000004,138.85,97,21677,0.49600975000000036,170,5832,0.04280977671442088
-14.737000000000048,147.37,111,23536,0.4527880000000001,180,6760,0.05420847414643504
-14.887000000000047,148.87,121,24858,0.4220515,190,7424,0.04357331310166046
-14.635000000000046,146.35,130,26084,0.3935470000000002,200,8040,0.0985079268066329
-13.70000000000004,137.0,133,26491,0.3840842500000001,210,8240,0.03360007503943052
-13.015000000000033,130.15,142,27612,0.35802100000000026,220,8800,0.07960214761260431
-11.430000000000021,114.3,147,28315,0.34167625,230,9152,0.12285088721546344
-11.622000000000021,116.22,157,29576,0.312358,240,9784,0.06807054371165577
-11.965000000000023,119.65,169,31081,0.27736675,250,10536,0.057406535706832074
-11.137000000000011,111.37,178,32219,0.25090825000000005,260,11104,0.046392234646191355
-11.546000000000014,115.46,187,33323,0.22524025000000025,270,11656,0.05824943707557395
-10.95700000000001,109.57,197,34593,0.19571275,280,12296,0.09381333920464385
-11.18100000000001,111.81,209,36139,0.15976824999999983,290,13064,0.09449217510700691
-11.526000000000016,115.26,221,37710,0.12324250000000003,300,13848,0.08292044604604598
-12.362000000000018,123.62,231,38953,0.09434275000000036,310,14472,0.13137116575671826
-12.573000000000018,125.73,241,40285,0.07,320,15136,0.07374523112957831
-12.990000000000018,129.9,250,41405,0.07,330,15696,0.07405335757357534
-12.700000000000014,127.0,257,42376,0.07,340,16184,0.15857072867220268
-12.900000000000013,129.0,270,44081,0.07,350,17040,0.0758312347024912
-12.743000000000013,127.43,277,45062,0.07,360,17528,0.050027387755108066
-12.82100000000002,128.21,286,46244,0.07,370,18120,0.06231079543067608
-12.708000000000018,127.08,295,47401,0.07,380,18696,0.07543923270714004
-12.561000000000014,125.61,306,48800,0.07,390,19392,0.07519159412186127
-11.810000000000013,118.1,313,49620,0.07,400,19808,0.039010666601825505
-11.606000000000016,116.06,322,50659,0.07,410,20328,0.05199561672634445
-11.528000000000011,115.28,332,51913,0.07,420,20952,0.06428228609729558
-11.40900000000001,114.09,339,52914,0.07,430,21456,0.13843169546453282
-11.579000000000008,115.79,348,54055,0.07,440,22024,0.1542042601504363
-10.875000000000002,108.75,355,55056,0.07,450,22520,0.10475847020279616
-10.6,106.0,361,55762,0.07,460,22880,0.1389166906446917
-10.141,101.41,366,56485,0.07,470,23240,0.07924375787843019
-10.167999999999997,101.68,376,57669,0.07,480,23832,0.10429115180158988
-10.158999999999999,101.59,387,59059,0.07,490,24528,0.10291391045029741
-10.089999999999996,100.9,393,59810,0.07,500,24904,0.1325888878927799
-9.927999999999994,99.28,399,60687,0.07,510,25336,0.05318531236844137
-9.567999999999993,95.68,406,61581,0.07,520,25784,0.052659526583738625
-9.273999999999992,92.74,411,62288,0.07,530,26136,0.13131524095661007
-8.773999999999994,87.74,416,62929,0.07,540,26464,0.0807956178614404
-9.016999999999994,90.17,426,64173,0.07,550,27080,0.08080825877550524
-9.470999999999997,94.71,434,65333,0.07,560,27664,0.19446797284763306
-9.734999999999996,97.35,442,66320,0.07,570,28152,0.04049538934486918
-9.496999999999996,94.97,449,67266,0.07,580,28632,0.06746041719452478
-8.885999999999997,88.86,455,68045,0.07,590,29016,0.18578212862485088
-9.545999999999998,95.46,466,69456,0.07,600,29720,0.10509884543716908
-9.622,96.22,473,70409,0.07,610,30200,0.08162338080001064
-10.420000000000005,104.2,486,72101,0.07,620,31048,0.11092374619329348
-10.897000000000007,108.97,495,73285,0.07,630,31640,0.10711783543229103
-11.30200000000001,113.02,503,74331,0.07,640,32160,0.10731661837780848
-11.315000000000014,113.15,513,75588,0.07,650,32792,0.06898021211964078
-11.449000000000012,114.49,523,76882,0.07,660,33440,0.11051664475235157
-11.424000000000012,114.24,531,77844,0.07,670,33920,0.16634616159717552
-11.306000000000017,113.06,537,78672,0.07,680,34328,0.08313914095924702
-11.097000000000019,110.97,541,79242,0.07,690,34616,0.12385129259200767
-10.543000000000008,105.43,548,80099,0.07,700,35048,0.12550261462456547
-10.456000000000012,104.56,555,80965,0.07,710,35480,0.12541620968841016
-9.492000000000006,94.92,561,81693,0.07,720,35840,0.09908990512485616
-9.182000000000004,91.82,568,82567,0.07,730,36280,0.11018220538971946
-8.883000000000003,88.83,574,83314,0.07,740,36656,0.12680437279050238
-8.476999999999999,84.77,581,84165,0.07,750,37080,0.09542847209377214
-7.804999999999995,78.05,586,84787,0.07,760,37392,0.15615995845291764
-7.525999999999997,75.26,592,85470,0.07,770,37728,0.046618091699201614
-7.486999999999995,74.87,598,86259,0.07,780,38128,0.1253254370240029
-7.780999999999997,77.81,605,87123,0.07,790,38560,0.1178593221702613
-7.787000000000002,77.87,612,87986,0.07,800,38992,0.2094193398952484
-7.661999999999999,76.62,617,88727,0.07,810,39360,0.08800616013468243
-7.695999999999997,76.96,624,89489,0.07,820,39744,0.08399958672816865
-7.499999999999997,75.0,629,90167,0.07,830,40080,0.1496682142606005
-7.115999999999998,71.16,632,90530,0.07,840,40264,0.12457684642868116
-6.761,67.61,636,91026,0.07,850,40512,0.07114211795851588
-6.881999999999998,68.82,642,91769,0.07,860,40880,0.1136106920603197
-6.718999999999998,67.19,646,92289,0.07,870,41144,0.01625066710403189
-6.8649999999999975,68.65,653,93224,0.07,880,41608,0.15312584198545665
-6.732999999999996,67.33,659,93956,0.07,890,41976,0.1523693451890722
-6.896999999999995,68.97,667,94983,0.07,900,42488,0.16277807438746095
-7.127999999999995,71.28,675,95955,0.07,910,42976,0.1885455409064889
-7.012999999999997,70.13,680,96602,0.07,920,43296,0.13079110661055893
-6.9979999999999976,69.98,685,97265,0.07,930,43632,0.10178037217701785
-7.341999999999995,73.42,691,97972,0.07,940,43984,0.1636379192932509
-7.522999999999995,75.23,696,98649,0.07,950,44320,0.17176640103571117
-7.215999999999995,72.16,700,99085,0.07,960,44536,0.10155943399877287
-7.298999999999995,72.99,705,99688,0.07,970,44840,0.11780864265165292
-6.860999999999994,68.61,709,100185,0.07,980,45088,0.18429404008202255
-7.2259999999999955,72.26,717,101282,0.07,990,45640,0.11733260977780446
-7.045999999999997,70.46,724,102129,0.07,1000,46064,0.07382118218811229
-6.583999999999996,65.84,727,102639,0.07,1010,46312,0.15772546824882738
-6.5449999999999955,65.45,732,103247,0.07,1020,46616,0.18311850962345488
-6.498999999999995,64.99,737,103864,0.07,1030,46928,0.0712288580252789
-6.255999999999997,62.56,741,104328,0.07,1040,47160,0.1021110812725965
-6.179999999999996,61.8,745,104929,0.07,1050,47464,0.1129534205829259
-6.030999999999995,60.31,748,105216,0.07,1060,47600,0.10178215909400024
-5.895999999999997,58.96,751,105684,0.07,1070,47840,0.14116289897356182
-6.101999999999997,61.02,756,106387,0.07,1080,48192,0.13313593028578907
-5.885999999999995,58.86,763,107268,0.07,1090,48632,0.11871197650907561
-5.752999999999993,57.53,768,107982,0.07,1100,48984,0.12669146578991786
-5.925999999999993,59.26,774,108665,0.07,1110,49328,0.22688067238777876
-5.9269999999999925,59.27,779,109274,0.07,1120,49632,0.07303142599994317
-6.012999999999993,60.13,785,109977,0.07,1130,49984,0.06848988920683041
-6.45799999999999,64.58,792,110886,0.07,1140,50440,0.11796205161954276
-6.491999999999993,64.92,797,111521,0.07,1150,50760,0.07199749414576218
-7.054999999999991,70.55,804,112371,0.07,1160,51184,0.04302630166057497
-7.42799999999999,74.28,811,113212,0.07,1170,51600,0.14585970900952816
-7.2589999999999915,72.59,815,113746,0.07,1180,51872,0.18532216153107584
-6.744999999999993,67.45,818,114113,0.07,1190,52056,0.16558381001232192
-6.498999999999995,64.99,822,114581,0.07,1200,52288,0.13299534074030817
-6.234999999999994,62.35,826,115000,0.07,1210,52496,0.15935181939858012
-6.306999999999997,63.07,831,115681,0.07,1220,52840,0.04127772231004201
-6.286999999999997,62.87,837,116364,0.07,1230,53176,0.20399040821939707
-6.207999999999995,62.08,843,117194,0.07,1240,53592,0.11248082885867916
-6.468999999999998,64.69,851,118090,0.07,1250,54040,0.12029125000117347
-6.202999999999999,62.03,855,118674,0.07,1260,54336,0.16858483100077137
-6.0689999999999955,60.69,861,119381,0.07,1270,54688,0.12868672169861384
-6.333999999999995,63.34,867,120180,0.07,1280,55088,0.10481151193380356
-6.732999999999995,67.33,874,120946,0.07,1290,55472,0.22760756872594357
-6.858999999999994,68.59,878,121540,0.07,1300,55768,0.17189355165464804
-7.609999999999996,76.1,888,122710,0.07,1310,56352,0.21372065180912614
