rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-12.000000000000002,120.0,1,1210,0.9718675,10,,
-11.100000000000012,111.0,2,2240,0.9479200000000001,20,,
-9.656666666666675,96.56666666666666,3,2927,0.9319472500000002,30,,
-11.097500000000021,110.975,5,4479,0.8958632499999998,40,,
-10.466000000000015,104.66,7,5283,0.8771702500000002,50,,
-10.931666666666692,109.31666666666666,9,6619,0.8461082500000001,60,,
-11.228571428571458,112.28571428571429,11,7930,0.8156275000000002,70,,
-11.30500000000003,113.05,13,9124,0.7878670000000001,80,,
-11.627777777777808,116.27777777777777,18,10555,0.75459625,90,272,0.027986499344478943
-11.571000000000032,115.71,26,11671,0.7286492499999998,100,832,0.07531985534296837
-11.135000000000032,111.35,31,12445,0.7106537500000002,110,1216,0.09488037885785161
-11.988000000000033,119.88,44,14328,0.666874,120,2160,0.06788635247721686
-12.73700000000004,127.37,55,15764,0.633487,130,2880,0.03966470330669836
-12.832000000000036,128.32,67,17411,0.59519425,140,3704,0.07218627384281717
-13.927000000000048,139.27,80,19310,0.5510425,150,4648,0.03120374706122675
-13.68100000000004,136.81,88,20400,0.5257000000000002,160,5192,0.04109988480558968
-13.236000000000033,132.36,95,21266,0.5055654999999999,170,5632,0.07323058636393398
-13.980000000000034,139.8,109,23204,0.460507,180,6600,0.07451381722057704
-13.62700000000003,136.27,117,24282,0.4354435,190,7136,0.04296554702887079
-13.577000000000028,135.77,125,25348,0.4106590000000002,200,7672,0.08578567524818936
-14.407000000000028,144.07,137,26952,0.3733660000000001,210,8472,0.08743552282976452
-13.638000000000025,136.38,146,28066,0.34746549999999976,220,9032,0.065911731304368
-12.935000000000018,129.35,152,28799,0.33042325000000006,230,9392,0.07765032276074635
-11.920000000000014,119.2,157,29431,0.31572924999999985,240,9712,0.056689107055717614
-11.315000000000005,113.15,167,30725,0.28564375,250,10360,0.045768888281600084
-11.206000000000008,112.06,174,31706,0.2628354999999999,260,10848,0.056846743216738105
-11.557000000000007,115.57,184,32923,0.23454025000000034,270,11456,0.0454245267319493
-10.667000000000005,106.67,192,33971,0.21017425000000023,280,11984,0.09269357811717782
-10.369000000000003,103.69,198,34751,0.1920392500000001,290,12368,0.11439955158130033
-10.288000000000004,102.88,205,35736,0.16913800000000034,300,12864,0.11440772766218288
-10.119000000000005,101.19,216,37171,0.1357742500000002,310,13584,0.03639748711430002
-10.434000000000005,104.34,227,38600,0.10254999999999981,320,14296,0.08358506004151423
-10.86600000000001,108.66,237,39765,0.07546374999999994,330,14880,0.07280330278445035
-11.498000000000015,114.98,247,41029,0.07,340,15512,0.048066412593470886
-11.132000000000012,111.32,254,41957,0.07,350,15976,0.14292327128350735
-10.969000000000012,109.69,261,42775,0.07,360,16384,0.07348147759330459
-11.226000000000015,112.26,273,44249,0.07,370,17120,0.14496127447637264
-11.459000000000014,114.59,283,45530,0.07,380,17760,0.10969319599098526
