time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss
2653,0.9383177500000002,264.3,2,-15.479991692056222,10,,
4529,0.8947007499999999,225.45,5,-13.48188367890298,20,,
6242,0.8548735000000002,207.06666666666666,7,-12.431969233775066,30,,
7746,0.8199054999999998,192.65,9,-11.415155416124097,40,,
9801,0.7721267500000002,195.02,12,-11.656048615808443,50,,
11974,0.7216045000000002,198.56666666666666,21,-11.721806397728065,60,984,4.176453148829751e-05
13051,0.6965642500000002,185.44285714285715,27,-10.668372370240137,70,1520,0.03699634339500335
13757,0.6801497500000001,170.9625,30,-9.723407839182414,80,1872,0.027815168731649464
14683,0.65862025,162.14444444444445,35,-9.021708903026877,90,2336,0.018664853231712186
14981,0.6516917500000001,148.81,36,-8.221567258304765,100,2488,0.02773109498230042
15309,0.6440657500000002,125.56,38,-6.801840007319486,110,2648,0.09173583563460852
15704,0.634882,110.75,40,-5.832486017814103,120,2848,0.06439393197069876
16277,0.6215597499999999,99.35,43,-5.031054608519831,130,3136,0.03667843237417401
16881,0.6075167500000003,90.35,46,-4.475097702696939,140,3440,0.018580206793558318
17314,0.5974494999999999,74.13,48,-3.411688580132062,150,3656,0.045789419185894076
17765,0.5869637499999998,56.91,50,-2.3906277623537684,160,3880,0.09975339344964596
18233,0.5760827500000003,50.82,53,-2.1326124465970797,170,4112,0.05452879865333671
18725,0.5646437500000002,48.68,55,-2.056047085895646,180,4360,0.09840446515590884
19230,0.5529025000000003,44.47,58,-1.9438478901994793,190,4608,0.05408049350080546
19710,0.5417424999999999,46.29,60,-2.028961558419568,200,4848,0.08045847564062569
20037,0.5341397500000002,46.28,62,-2.014255567468694,210,5016,0.07937657683942234
20544,0.5223519999999999,47.4,64,-2.074629311081681,220,5264,0.05332982754043769
20948,0.5129589999999998,45.71,67,-1.9832327501696352,230,5472,0.07917179779906292
21375,0.5030312499999998,43.94,69,-1.8678706102372429,240,5680,0.13035686290822923
21857,0.49182475000000025,44.43,71,-1.8351582868720575,250,5928,0.10376466753950808
22280,0.48199000000000036,44.15,73,-1.8193149744811683,260,6136,0.16115209739655256
22694,0.4723645000000003,43.61,76,-1.7904706524268204,270,6344,0.06891677281237207
23216,0.4602280000000003,43.91,78,-1.716555240284062,280,6600,0.14390408448525704
23752,0.4477660000000002,44.22,81,-1.686867843337111,290,6872,0.12437463806418236
24112,0.4393960000000001,43.02,83,-1.6164543787787653,300,7048,0.07566576404497027
24448,0.43158399999999997,43.11,85,-1.6314876493801793,310,7216,0.050903380470117554
24734,0.4249345000000003,40.9,86,-1.4978554154946664,320,7360,0.08269303158158436
25141,0.41547175000000036,40.93,88,-1.5244705502394238,330,7568,0.0821719609957654
25509,0.40691575,40.34,90,-1.475091097371858,340,7752,0.10662774683441967
25811,0.3998942499999999,38.54,92,-1.4197977812680773,350,7904,0.09756265307078138
26103,0.3931052500000004,37.23,93,-1.3709808939062809,360,8048,0.08816779288463295
26378,0.38671149999999976,35.84,95,-1.322887888955435,370,8184,0.11142991943052039
26588,0.38182899999999986,32.72,96,-1.2257182107234241,380,8288,0.1416038162424229
26940,0.3736449999999999,30.88,98,-1.1605218261596064,390,8464,0.1184627937618643
27221,0.36711174999999996,30.09,99,-1.1400666738632719,400,8608,0.10092695837374777
27556,0.35932299999999995,30.08,101,-1.1116773103977138,410,8776,0.07098478302941658
27842,0.35267349999999986,30.08,103,-1.103986308565308,420,8920,0.08499365448369645
28141,0.34572175000000027,29.0,105,-1.0464610334316375,430,9064,0.12934419990051538
28417,0.33930475000000004,28.08,106,-1.0324436690824743,440,9208,0.1276625948958099
28659,0.3336782500000003,27.48,107,-1.002960347504994,450,9328,0.1488768206909299
28942,0.32709850000000007,27.39,109,-0.9828958374651109,460,9464,0.09668936792877503
29336,0.31793799999999994,28.58,111,-1.0171522837643443,470,9664,0.11724104365566745
29554,0.31286950000000036,28.66,113,-1.0343205204984605,480,9776,0.12377427236060612
29768,0.3078940000000002,27.28,114,-0.9642077315605097,490,9880,0.15732514997944236
30029,0.3018257500000001,27.08,115,-0.964299607888592,500,10008,0.12210356496507302
30322,0.29501349999999993,26.66,117,-0.9602038810265348,510,10160,0.1130862008430995
30561,0.28945675000000026,26.19,118,-0.9525398982712212,520,10280,0.18946507552755065
30819,0.28345825000000013,25.78,120,-0.9210702041066157,530,10408,0.13268681120825931
31053,0.2780177500000002,25.36,121,-0.8764976211101195,540,10520,0.09016220032935962
31279,0.2727632499999998,25.2,122,-0.8767944950913241,550,10632,0.14200576848816127
31547,0.26653225000000025,25.05,124,-0.8664914747688134,560,10768,0.16729494999162853
31733,0.26220774999999985,22.97,125,-0.7909124442008334,570,10864,0.08971877954900265
32090,0.2539075000000002,24.36,127,-0.8288251244917884,580,11040,0.1530781416222453
32380,0.2471650000000004,25.12,128,-0.8716332531999575,590,11184,0.06874726200476289
32625,0.24146875000000023,24.96,129,-0.8385621772423539,600,11312,0.08847930759657174
32896,0.23516800000000027,24.74,131,-0.8274054949759875,610,11440,0.08033667362178676
33051,0.23156424999999992,23.9,132,-0.7881091405681303,620,11520,0.10354206210467964
33339,0.22486824999999988,24.2,133,-0.7995371029598126,630,11664,0.08400130021618679
33647,0.21770725000000002,24.94,135,-0.8371170406466659,640,11816,0.16026222286745906
33857,0.2128247499999999,24.78,136,-0.8298415124993831,650,11928,0.1155902404570952
34138,0.20629150000000007,24.91,138,-0.844816205282822,660,12064,0.1433498952537775
34374,0.20080450000000027,25.41,139,-0.8729756856722558,670,12184,0.11667676537763327
34545,0.19682875,23.55,140,-0.8091290844561619,680,12272,0.09880645532393828
34826,0.19029550000000006,23.46,142,-0.8104351586495026,690,12408,0.07520428876159713
35039,0.18534325000000018,23.14,143,-0.8265332337468233,700,12512,0.13455997966229916
35273,0.1799027500000001,22.77,144,-0.8106255491392722,710,12632,0.12157358089461923
35530,0.17392750000000023,23.79,146,-0.8556909542214797,720,12760,0.11986482364591211
35736,0.16913800000000034,22.97,147,-0.831618279772462,730,12864,0.1049552415497601
35961,0.1639067500000002,22.14,148,-0.8091606072741717,740,12976,0.09243620897177607
36217,0.15795475000000048,22.6,150,-0.8312477911939066,750,13104,0.08542846678756177
36414,0.1533745000000003,21.76,151,-0.7975217367193959,760,13200,0.14102350873872638
36647,0.14795724999999993,21.73,152,-0.794898369082026,770,13320,0.14636973338201642
36847,0.14330724999999989,22.02,153,-0.8096865829704503,780,13416,0.1421083826571703
37047,0.13865724999999995,21.21,154,-0.7735631654167392,790,13520,0.13550456147640944
37246,0.13403050000000016,21.07,155,-0.7553240459890429,800,13616,0.13735070265829563
37418,0.1300315000000002,20.45,156,-0.7449402470320262,810,13704,0.1732730334624648
37578,0.12631150000000002,19.48,157,-0.7053386996031721,820,13784,0.0878820950165391
37744,0.12245200000000012,19.08,158,-0.700126008373511,830,13864,0.14915287354961038
37942,0.1178484999999998,18.81,159,-0.6898002761383697,840,13968,0.0813252670923248
38105,0.11405874999999976,17.88,160,-0.6563644139753189,850,14048,0.11560353776440024
38362,0.10808349999999989,18.48,162,-0.659855615166739,860,14176,0.12648501805961132
38584,0.10292200000000018,18.37,163,-0.6634732383323011,870,14288,0.12254058849066496
38780,0.09836500000000026,18.33,164,-0.6662341426453637,880,14384,0.09909556293860078
38996,0.0933430000000004,18.49,166,-0.6693274955964194,890,14496,0.09967465116642416
39158,0.08957649999999995,18.12,166,-0.6615686834785646,900,14576,0.11385663831606507
39355,0.08499625,18.37,168,-0.6694524841409035,910,14672,0.1065927604213357
39597,0.07936975000000024,19.19,169,-0.6897253887110684,920,14792,0.10113685997202992
39829,0.07397575,19.85,170,-0.6966327859239285,930,14912,0.08901960495859385
40002,0.07,19.6,171,-0.6977546253698124,940,15000,0.09392657317221165
40185,0.07,19.8,172,-0.6999870097339164,950,15088,0.0822151720058173
40405,0.07,19.43,174,-0.7042177932686654,960,15200,0.13304305635392666
40624,0.07,19.4,175,-0.6903636696285167,970,15304,0.050748905166983604
40824,0.07,19.44,176,-0.6825405881523199,980,15408,0.08596931584179401
40993,0.07,18.97,177,-0.666988987865001,990,15496,0.12836658162996173
41136,0.07,18.78,178,-0.6653014514656145,1000,15560,0.1135195770766586
41338,0.07,18.83,179,-0.6632198971516194,1010,15664,0.09608288761228323
41527,0.07,18.3,180,-0.654961004521886,1020,15760,0.08849609503522515
41735,0.07,18.06,181,-0.6623057624476779,1030,15864,0.0800638566724956
41937,0.07,18.35,182,-0.6594089815556101,1040,15968,0.11823696549981833
42112,0.07,18.27,183,-0.6573808417776599,1050,16048,0.09117808192968369
42335,0.07,18.3,185,-0.640270082538038,1060,16160,0.0920514459721744
42512,0.07,17.88,186,-0.6264650775635879,1070,16248,0.1280735768377781
42723,0.07,17.99,187,-0.6378167177085683,1080,16360,0.08809724869206548
42906,0.07,18.13,188,-0.6480614346334677,1090,16448,0.09662667382508516
43107,0.07,18.71,189,-0.6504948688810921,1100,16552,0.06276502436958253
43313,0.07,18.75,190,-0.6588048348168403,1110,16656,0.09811020828783512
43479,0.07,18.52,191,-0.6514731641100137,1120,16736,0.0872161416336894
43684,0.07,18.49,192,-0.6461218904764483,1130,16840,0.08536161202937365
43902,0.07,18.65,193,-0.667622851536684,1140,16944,0.0790293850004673
44128,0.07,19.16,195,-0.6736209567465421,1150,17056,0.06698042014613748
44323,0.07,18.88,196,-0.6876059907575225,1160,17160,0.08776182448491454
44537,0.07,19.25,197,-0.6830926123343966,1170,17264,0.0661640609614551
44712,0.07,18.89,198,-0.669863746665131,1180,17352,0.07028034469112754
44910,0.07,19.04,199,-0.6729246936618274,1190,17448,0.0864865300245583
45095,0.07,18.88,200,-0.6844565026920939,1200,17544,0.07051320606842637
45310,0.07,18.97,201,-0.692352301418959,1210,17648,0.061161477118730545
45525,0.07,19.46,203,-0.694311323552796,1220,17760,0.047701794654130936
45727,0.07,19.43,204,-0.7003216419369496,1230,17856,0.05891722231172025
45890,0.07,18.88,205,-0.680248753007325,1240,17944,0.07738346606492996
46109,0.07,18.81,206,-0.6739767721861024,1250,18048,0.056211857590824366
46306,0.07,18.83,207,-0.6652757450330494,1260,18152,0.053528897697106004
46489,0.07,18.52,208,-0.6712899515376592,1270,18240,0.05859832861460745
