rollout/exploration_rate,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss
0.9404799999999999,2560,2,10,14.730736500063461,255.0,,
0.8768680000000002,5296,5,20,15.43268529104543,263.8,,
0.8219282500000001,7659,9,30,14.962186355501498,254.3,,
0.7649425000000001,10110,12,40,14.955777799572934,251.75,48,0.02837101835757494
0.7067942500000002,12611,24,50,14.801622235523649,251.22,1304,0.020881126314634457
0.6541562500000002,14875,35,60,14.036249160585651,246.91666666666666,2432,0.009842240311172645
0.5915439999999998,17568,49,70,13.6115165428988,249.97142857142856,3776,0.009792163038582657
0.5308382500000002,20179,62,80,13.375216788377287,251.2375,5088,0.009874260872493323
0.4758752500000001,22543,74,90,13.091218343577603,249.4777777777778,6264,0.00023862063790147658
0.4097289999999998,25388,89,100,12.970812379140883,252.88,7688,0.010361625714722322
0.33997900000000025,28388,105,110,12.754885069703434,257.28,9192,0.00045036823576083407
0.27711100000000044,31092,120,120,12.329848834520915,256.96,10544,0.010797075916343601
0.2073609999999998,34092,136,130,12.240370324208465,263.33,12040,0.0006412137227016501
0.14453950000000015,36794,151,140,11.882495848194369,265.84,13392,0.022362810566846747
0.07478950000000029,39794,166,150,11.73950023183535,270.83,14896,0.011320890131173655
0.07,42794,181,160,11.983228026005115,278.19,16392,0.0009791553602553904
0.07,45794,196,170,12.11961349626697,281.26,17896,0.00105709106719587
0.07,48674,211,180,12.11740171012758,283.95,19336,0.0012548996455734596
0.07,51580,226,190,12.221664424775733,289.37,20784,0.0010968349888571538
0.07,54580,242,200,12.28544446847473,290.92,22288,0.0012337612133705989
0.07,57282,256,210,12.139298066703644,287.94,23640,0.0012417508623912
0.07,60282,271,220,12.193952448822937,290.9,25136,0.0013212626945460215
0.07,63016,285,230,11.995921266189121,288.24,26504,0.001571884480654262
0.07,64869,295,240,11.619740524164165,279.75,27432,0.0015485234325751662
0.07,67595,309,250,11.424381644329346,277.01,28792,0.014193168128258549
0.07,70595,324,260,11.349258179916728,277.01,30296,0.014387202449142933
0.07,73595,340,270,11.301694735237295,277.01,31792,0.0016434597200714052
0.07,75931,352,280,11.0185252105215,271.57,32960,0.01558808439585846
0.07,78157,363,290,10.667716083412515,264.77,34072,0.014373322410392575
0.07,80367,375,300,10.316125196686176,256.87,35176,0.02825707617739681
0.07,82286,385,310,9.92492879117697,249.04,36136,0.014860832437989302
0.07,83744,392,320,9.235354239952285,233.62,36864,0.014608586017857306
0.07,85620,402,330,8.871861986677771,225.04,37808,0.001486338151153177
0.07,87092,410,340,8.71103194122021,221.23,38544,0.0014932742778910324
0.07,89290,421,350,8.475046278706861,215.95,39640,0.001374118190142326
0.07,91145,430,360,8.005463328672231,204.5,40568,0.014838397299172357
0.07,93506,443,370,7.73952090759905,198.11,41752,0.027712834635167383
0.07,95543,453,380,7.667291368323978,195.12,42768,0.015118308365345001
0.07,98116,467,390,7.900630587991542,198.59,44056,0.0011488899908727035
0.07,101116,482,400,8.24202356141242,206.49,45552,0.001141343280323781
0.07,103880,496,410,8.5332041567367,214.94,46936,0.0540289040945936
0.07,106612,510,420,9.12230590787056,227.68,48304,0.0010592612670734525
0.07,109315,524,430,9.347450498348431,235.95,49656,0.014509565007756464
0.07,112315,540,440,9.89165827084864,251.23,51152,0.0008447130094282329
0.07,115285,555,450,9.953381635647741,258.95,52640,0.04129813446343178
0.07,117428,566,460,9.923034780016952,261.83,53712,0.014258550123486202
0.07,119235,576,470,9.65150943854784,256.29,54616,0.0008644768895464949
0.07,120515,582,480,9.246900642526812,248.72,55256,0.00080953990254784
0.07,122260,591,490,8.719077924244806,240.44,56128,0.0007205356087069958
0.07,123362,597,500,7.889426587102577,221.46,56680,0.014288189733633772
0.07,124740,604,510,7.395330543962181,207.6,57368,0.026877361939114053
0.07,126060,610,520,6.763231988409084,193.48,58024,0.014288034883065848
0.07,126939,615,530,6.110104684825574,175.24,58464,0.02678145971003687
0.07,127903,620,540,5.346955669340857,154.88,58944,0.040558454995334614
0.07,129147,626,550,4.9516868266831375,137.62,59568,0.02770336105459137
0.07,130984,636,560,4.981973923011808,134.56,60488,0.0005767760994785931
0.07,133765,650,570,5.480121657718169,144.3,61880,0.027314355262205936
0.07,136522,664,580,6.216981946047213,159.07,63256,0.028218056904734112
0.07,139390,679,590,6.981575603103651,170.3,64688,0.02703266414027894
0.07,142111,693,600,7.667419342720347,186.49,66048,0.01382867561551393
0.07,144897,708,610,8.25096954660156,200.57,67448,0.04027219134877669
0.07,147582,722,620,8.749881500098763,214.22,68784,0.03989909149822779
0.07,150482,736,630,9.593396428852595,234.43,70240,0.013944305701443227
0.07,153482,752,640,10.46858773735509,254.79,71736,0.0006051822929293849
0.07,156370,767,650,11.073099589144327,271.23,73184,0.013652999383339193
0.07,159073,781,660,11.406162114226298,279.89,74536,0.026879602162807714
0.07,161885,795,670,11.349226946799838,280.2,75936,0.05298285002209013
0.07,164885,811,680,11.434492334266787,282.63,77440,0.0005790674695163034
0.07,167486,824,690,11.221356894449904,279.96,78736,0.013485482093528844
0.07,170486,840,700,11.342471578570418,282.75,80240,0.026211794480332173
0.07,173486,856,710,11.433944850929024,284.89,81736,0.013559679260652047
0.07,176246,870,720,11.506742667230231,285.64,83120,0.039448330557206646
0.07,178783,883,730,11.318949994827252,282.01,84384,0.026704450021497905
0.07,181276,896,740,11.032418935793357,276.94,85632,0.07775361728999997
0.07,183591,908,750,10.809297816191618,271.21,86792,0.03887787140411092
0.07,185957,920,760,10.652442990306797,267.84,87976,0.013788900185318198
0.07,188616,933,770,10.660127840750516,266.31,89304,0.03997016901848838
0.07,191297,948,780,10.460712391958461,263.12,90648,0.013752397338976152
0.07,194297,964,790,10.912243035141746,267.11,92144,0.013642011981573887
0.07,197297,979,800,10.8599996188151,267.11,93648,0.02712015520228306
0.07,200005,993,810,10.853758666718491,264.19,95000,0.02753979757835623
